Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T
67-14	31.9382617958319	0.347583567890637	3.64667105328524e-35	2.224469342504e-33	1.37047280669327e-25	8.90807324350626e-24
A21b	28.4510830180321	0.424275795541359	4.6897237355585e-10	5.6276684826702e-09	0.000887325685826244	0.0105610676285928
A4b	29.8134633595912	0.402942183381369	2.18737154025936e-15	5.24969169662246e-14	7.16781743009e-10	1.7202761832216e-08
Acidobacteriaceae_(Subgroup_1)	30.461366706327	0.391327591527942	8.00642005459191e-19	2.56205441746941e-17	1.35270564680194e-13	4.4639286344464e-12
Acidobacteriae_fa	30.4710948189774	0.397164400356853	4.75992584081013e-17	1.28517997701874e-15	6.41655887340703e-13	1.92496766202211e-11
Acidothermaceae	28.6491920813524	0.41902081249863	2.9885936089014e-11	4.78174977424224e-10	0.000168497692037218	0.00219046999648383
AKYH767	27.8310848364967	0.447036988941937	9.33674357699088e-06	4.66837178849544e-05	0.0603494818295314	0.301747409147657
Alcaligenaceae	29.6924313800869	0.397038759716069	4.36933003239901e-17	1.22341240907172e-15	1.27802525027241e-09	2.93945807562654e-08
Alicyclobacillaceae	31.6356353945869	0.354186868950909	2.36438887610014e-32	1.37134554813808e-30	6.42190306729112e-24	3.85314184037467e-22
All_BS	75.1986068869685	0.00337458955985301	0	0	0	0
All_PM	27.2081828019325	0.499541285177271	0.500013592969285	0.500013592969285	0.5	1
B1-7BS	28.566160740125	0.442204462013522	1.50067168571408e-06	1.20053734857126e-05	0.000880088969049404	0.0105610676285928
Bacillaceae	38.4821596041196	0.183195016198367	7.15536341590611e-145	7.44157795254236e-143	2.68390539952736e-146	2.79126161550845e-144
Bacteriovoracaceae	29.4071805609592	0.415534073910426	4.3631093629934e-12	7.85359685338812e-11	1.72165375866497e-07	3.44330751732994e-06
Bdellovibrionaceae	31.5898912505167	0.361158659675763	1.6186758615097e-29	8.0933793075485e-28	6.15611990643886e-23	3.57054954573454e-21
Beijerinckiaceae	30.7914156452203	0.350881423904776	9.58405253151448e-34	5.65459099359354e-32	1.28719862063778e-19	6.30727324112512e-18
BIrii41	33.0152969847637	0.328767827900992	7.50892998097667e-44	5.48151888611297e-42	1.47743760116117e-36	1.12285257688249e-34
Bryobacteraceae	33.3195276438063	0.293242725912834	5.63333574896833e-63	4.90100210160245e-61	2.35243688187036e-48	2.02309571840851e-46
Burkholderiaceae	30.8720947906712	0.373912449554018	1.10193422490671e-24	4.62812374460818e-23	2.46486022978606e-17	1.05988989880801e-15
Catenulisporaceae	33.7332916748826	0.303847133285326	6.80549079397112e-57	5.71661226693574e-55	3.8260501274669e-47	3.25214260834687e-45
Caulobacteraceae	35.0867496076978	0.25352257568373	1.39265248461214e-88	1.37872595976602e-86	2.37732408930194e-75	2.35355084840892e-73
Cellulomonadaceae	31.3283750202155	0.379232360981582	8.37442306163707e-23	3.18228076342209e-21	3.17611674593013e-19	1.49277487058716e-17
Cellvibrionaceae	31.361805519596	0.363304669278418	1.13345084800784e-28	5.55390915523842e-27	3.01669316668561e-21	1.59884737834337e-19
Chitinophagaceae	34.3204530808139	0.271654459568167	2.43598639158088e-76	2.28982720808603e-74	5.13349449553171e-61	4.82548482579981e-59
Chloroflexaceae	34.4649303780487	0.281663549542044	5.57939214604251e-70	5.13304077435911e-68	2.73707102061422e-58	2.51810533896508e-56
