Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T
All_BS	129.503321692277	8.43225777074715e-07	0	0	0	0
All_PM	32.3347447124064	0.499541285177271	0.500013592969285	1	0.5	1
Cluster_1	72.4468872556501	0.00267977151954344	0	0	0	0
Cluster_10	68.3734493218452	0.00841623648098273	0	0	0	0
Cluster_100	32.8050230416559	0.477961451090375	0.0374531001140636	1	0.12365132315837	1
Cluster_101	94.1920154697028	0.000102873544803115	0	0	0	0
Cluster_102	39.0691594261205	0.324108162256877	3.71650494704382e-46	3.12186415551681e-44	3.50130029569922e-47	2.90607924543035e-45
Cluster_103	30.8691566916917	0.539542229590142	0.999302280026375	1	0.999823942032312	1
Cluster_104	32.8890629874214	0.478837562672756	0.0436111588436653	1	0.0970090362307317	1
Cluster_105	33.0464970767559	0.464382143176364	0.00199820051614031	0.137875835613681	0.0398248372760251	1
Cluster_106	31.1443244403549	0.526262266826992	0.983096940194397	1	0.998622912029256	1
Cluster_107	28.9907245072507	0.593844283182199	0.999999999999983	1	1	1
Cluster_108	57.5233397901186	0.0353328465109847	0	0	0	0
Cluster_109	30.9268598141908	0.530838453119176	0.993652268224095	1	0.999837893935685	1
Cluster_11	65.8938888577372	0.00761264231543053	0	0	0	0
Cluster_110	32.7398181574988	0.484259504419346	0.101675349831053	1	0.167044684950128	1
Cluster_111	31.5736728181836	0.518039972274736	0.927565197768604	1	0.966974439103148	1
Cluster_112	34.9391396466586	0.415896660994568	5.34900151285333e-12	3.95826111951146e-10	9.88056004220798e-11	7.3116144312339e-09
Cluster_113	34.3835068560694	0.429055199245819	4.92239796043915e-09	3.54412653151619e-07	2.18864361183469e-07	1.57582340052098e-05
Cluster_114	30.6112311204749	0.547454217056434	0.999937217171541	1	0.999987680804906	1
Cluster_115	34.0093099036023	0.44649142186417	7.65159080329684e-06	0.000543262947034076	4.23239019304803e-05	0.0030049970370641
Cluster_116	30.9774232948511	0.542378841104221	0.999692410663562	1	0.999356339143323	1
Cluster_117	55.2930339474124	0.0377866335222721	1.10707323524142e-305	1.17349762935591e-303	0	0
Cluster_118	31.3701984853851	0.530991920210604	0.993870538987079	1	0.987840788253272	1
Cluster_119	56.4263561478955	0.0421039495008947	4.80699491240508e-300	5.04734465802533e-298	0	0
Cluster_12	36.8848530451702	0.353277871563223	9.86144641877334e-33	7.98777159920641e-31	2.63191540343105e-30	2.13185147677915e-28
Cluster_120	42.7618305645199	0.202968660670769	1.24803566340604e-127	1.1357124536995e-125	5.91548517468711e-136	5.38309150896527e-134
Cluster_121	75.5445104946537	0.00197989412457143	0	0	0	0
Cluster_122	28.5383697476013	0.614103625702196	1	1	1	1
Cluster_123	43.1495171499439	0.202117845861701	2.38317322170553e-128	2.19251936396909e-126	2.58433265429667e-140	2.37758604195294e-138
Cluster_124	35.7980378899853	0.389811471580762	2.67290004749105e-19	2.05813303656811e-17	1.11472249821192e-17	8.58336323623178e-16
Cluster_125	32.3753214500988	0.492245695754021	0.265440536507106	1	0.460217555572461	1
Cluster_126	31.2827540059099	0.529620835097081	0.991662541840527	1	0.994074379487573	1
Cluster_127	31.7983886593932	0.514892210448917	0.88561033555416	1	0.895358373184498	1
Cluster_128	29.9319569864476	0.565060771281754	0.999999927131426	1	0.999999999667959	1
Cluster_129	32.2991218518201	0.49600479626822	0.37339642882544	1	0.533502756064462	1
Cluster_13	30.4055052296159	0.552163633021396	0.999987543548905	1	0.999999098102538	1
Cluster_130	31.7164601122246	0.508686068729647	0.75864852506268	1	0.93963451437233	1
Cluster_131	57.2802842541319	0.0356026787596486	0	0	0	0
Cluster_132	42.2353828070745	0.221000200687735	7.13993044299286e-113	6.42593739869357e-111	2.17042102202817e-120	1.95337891982535e-118
Cluster_133	32.2465083640029	0.496341243353273	0.383736760686631	1	0.585043505415818	1
Cluster_134	31.7029246424608	0.512458660856279	0.842994809939036	1	0.93816444368714	1
Cluster_14	75.4936828083957	0.00227417992077051	0	0	0	0
Cluster_15	50.0521155936558	0.0983606004442113	2.06425568465326e-231	2.04361312780673e-229	3.04503693104231e-294	3.01458656173189e-292
Cluster_16	38.3074355947332	0.320163552071721	3.72026899125736e-48	3.16222864256876e-46	1.39218610775702e-47	1.1694363305159e-45
Cluster_17	53.9977790018684	0.0497385156865291	3.32687733127818e-290	3.45995242452931e-288	0	0
Cluster_18	38.9754928894443	0.326534966043298	6.00455944150876e-45	4.98378433645227e-43	1.1227537469847e-47	9.54340684936995e-46
Cluster_19	90.851401303173	5.73393528410806e-05	0	0	0	0
Cluster_2	53.182769238072	0.0544841903599056	3.59301200927372e-284	3.70080236955193e-282	0	0
Cluster_20	105.410187353043	8.43225777074715e-07	0	0	0	0
Cluster_21	79.4033629568786	0.000919116097011439	0	0	0	0
Cluster_22	51.9437477438611	0.0712517349370363	2.30001531706922e-263	2.3460156234106e-261	0	0
Cluster_23	59.9170170083925	0.0207500999222546	0	0	0	0
Cluster_24	100.004906924533	2.52967733122414e-06	0	0	0	0
Cluster_25	77.0832171549954	0.00142336511170212	0	0	0	0
Cluster_26	86.6794232713083	0.000243692249574593	0	0	0	0
Cluster_27	29.7673087644578	0.574477916760124	0.999999999122017	1	0.999999999900324	1
