Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T
All_BS	55.8209812320054	0.0176006516448805	0	0	0	0
All_PM	24.7616101875984	0.499541285177271	0.500013592969285	1	0.5	1
Cluster_1	30.0533542875391	0.298768384430005	9.11225814983959e-60	1.04790968723155e-57	1.40551967913679e-45	1.61634763100731e-43
Cluster_10	28.1877226197737	0.366897654314533	2.75770982872308e-27	3.06105790988262e-25	3.09504523806598e-19	3.43550021425324e-17
Cluster_100	24.1764060323257	0.499814490329044	0.494019319439169	1	0.942980394060528	1
Cluster_101	47.5983422870742	0.0399115624805004	6.69241121686065e-303	8.70013458191884e-301	0	0
Cluster_102	22.9017460265274	0.552942773639413	0.999990594401449	1	0.999999572279115	1
Cluster_103	24.4178530529685	0.497558861375369	0.421804279261125	1	0.819680150962782	1
Cluster_104	21.8441931406069	0.581699302314992	0.999999999979786	1	1	1
Cluster_105	20.8699102806847	0.617000949472225	1	1	1	1
Cluster_106	24.167743355035	0.495335275001223	0.353094882468215	1	0.952073190300872	1
Cluster_107	24.0139376771222	0.527882103544753	0.987879352601907	1	0.971738860399506	1
Cluster_108	24.298233559209	0.492362904137034	0.268554885805186	1	0.898933282959487	1
Cluster_109	23.916809847729	0.51640158458988	0.907495458915452	1	0.987824596934432	1
Cluster_11	29.8960895560184	0.306057228047038	1.1492987863965e-55	1.31020061649201e-53	3.51345967474165e-42	4.00534402920548e-40
Cluster_110	22.9018556385526	0.549293292476234	0.999966063545027	1	0.999999857974675	1
Cluster_111	24.6195844689949	0.485427372120595	0.119461653161286	1	0.649377535793816	1
Cluster_112	21.0574790595348	0.617664568158783	1	1	1	1
Cluster_113	22.5360722918777	0.550261315668315	0.999975657541152	1	0.999999999922089	1
Cluster_114	23.2384327864326	0.531091420852299	0.994008477033663	1	0.999989531679598	1
Cluster_115	21.97014486309	0.588282365956614	0.999999999999514	1	0.999999999999985	1
Cluster_116	24.6577677091465	0.494479400837492	0.327746091646903	1	0.607760733046927	1
Cluster_117	25.2087020848328	0.440233000146721	6.82490674024676e-07	7.43914834686897e-05	0.0939859270254624	1
Cluster_118	22.7651846901807	0.549113685385717	0.999963928717839	1	0.999999994262639	1
Cluster_119	24.3142855693842	0.503089579247202	0.598583884717729	1	0.882473165593327	1
Cluster_12	22.8609178835071	0.558837765046942	0.999999007547434	1	0.999999714564843	1
Cluster_120	19.7645242629732	0.665368380045231	1	1	1	1
Cluster_121	32.4758327742977	0.245317988872793	1.98775325478839e-94	2.36542637319818e-92	3.33638252276252e-84	3.9702952020874e-82
Cluster_122	22.9552121542246	0.54336204236029	0.999771086362713	1	0.999999765528627	1
Cluster_123	19.5675409406639	0.671227112744346	1	1	1	1
Cluster_124	22.132429054332	0.588444265305813	0.999999999999558	1	0.999999999997453	1
Cluster_125	19.9668995264413	0.658044964171337	1	1	1	1
Cluster_126	25.9329202672459	0.454834297702547	0.000131093742032436	0.0137648429134058	0.00145779411370318	0.157441764279943
Cluster_127	21.9652597112108	0.567756564091062	0.999999978213804	1	1	1
Cluster_128	25.4093911421437	0.456858882793303	0.000244751657148129	0.0254541723434054	0.0422427681847029	1
Cluster_129	21.2515346484143	0.607577058187638	1	1	1	1
Cluster_13	23.5657763559161	0.512392889245667	0.841714042661701	1	0.999726646864559	1
Cluster_130	21.9910461355555	0.574215673543454	0.999999998999439	1	0.999999999999999	1
Cluster_131	22.8747152769955	0.535710611659114	0.998048777366371	1	0.99999995204608	1
Cluster_132	19.4109303021129	0.673907727489666	1	1	1	1
Cluster_133	22.0153078465698	0.575622174139615	0.999999999506139	1	0.999999999999998	1
Cluster_134	24.2917138043482	0.503130897310278	0.599874572190069	1	0.894056987566396	1
Cluster_14	31.2657000344785	0.271092871200635	1.05060637877531e-76	1.22920946316711e-74	1.8289935371231e-63	2.13992243843403e-61
