Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T
All_BS	34.6409749991063	0.393455050163501	3.64043281923347e-18	3.78605013200281e-16	1.23891652397942e-08	1.25130568921921e-06
All_PM	31.816915770046	0.499541285177271	0.500013592969285	1	0.5	1
Cluster_1	46.5705851488488	0.16261271820575	5.39185804978774e-164	7.17117120621769e-162	3.42164059075624e-170	4.5507819857058e-168
Cluster_10	42.4929294247879	0.233757363469098	5.47667064521003e-103	6.62677148070414e-101	8.95113208532654e-91	1.08308698232451e-88
Cluster_100	29.8562789731037	0.536370857442564	0.998355223157147	1	0.999825115098001	1
Cluster_101	32.396058841258	0.438678091813796	3.60332550538571e-07	3.42315923011642e-05	0.114286344613662	1
Cluster_102	29.3693117883106	0.558562030217839	0.999998892081324	1	0.99999347698602	1
Cluster_103	29.8407462707152	0.536956056131853	0.998589469484724	1	0.99984790789465	1
Cluster_104	30.1316550202565	0.529769242833846	0.991931270974121	1	0.999045862527763	1
Cluster_105	26.6988719735708	0.60919942458273	1	1	1	1
Cluster_106	32.0294634680582	0.495577280799243	0.360388465986662	1	0.356020790874462	1
Cluster_107	32.6523753885178	0.499476356792437	0.48312257503337	1	0.0916489186262974	1
Cluster_108	46.7616342816734	0.196861176367417	7.7445270215423e-133	1.0067885128005e-130	1.11377570127658e-129	1.44790841165955e-127
Cluster_109	32.4209764181581	0.484963597943204	0.112152153319951	1	0.148656909761844	1
Cluster_11	41.4309553386741	0.25040938611477	8.87624424795499e-91	1.0651493097546e-88	5.73155277059286e-76	6.8205477970055e-74
Cluster_110	31.2975358819843	0.512448542146954	0.842798213774038	1	0.816214680922868	1
Cluster_111	32.0981269568971	0.503033083120138	0.596817327494107	1	0.31931989448943	1
Cluster_112	28.042597501145	0.577263091501802	0.999999999786729	1	0.999999999999551	1
Cluster_113	25.4196748207397	0.642314587300008	1	1	1	1
Cluster_114	31.2833749929186	0.509252716451841	0.772696119522527	1	0.825519505264714	1
Cluster_115	27.7712736965164	0.594494410256324	0.999999999999989	1	0.999999999999882	1
Cluster_116	31.2779370148904	0.499328792281449	0.478370607132688	1	0.837283456397974	1
Cluster_117	44.5899839606944	0.212887525486499	2.12807504947735e-119	2.70265531283623e-117	3.2140995634943e-113	4.08190644563776e-111
Cluster_118	34.3047847739791	0.463062494835242	0.00141746228979925	0.116231907763538	4.04130104685303e-05	0.00383923599451038
Cluster_119	43.3469688655006	0.252907020866465	5.15098758704025e-89	6.1296752285779e-87	9.46488434921694e-81	1.13578612190603e-78
Cluster_12	27.8565542869856	0.589131494314129	0.999999999999706	1	0.999999999999841	1
Cluster_120	27.814198399235	0.581388152003251	0.999999999976056	1	0.999999999999998	1
Cluster_121	55.1526640016633	0.104213430562887	8.71178711786494e-225	1.18480304802963e-222	1.58377155824418e-279	2.15392931921208e-277
Cluster_122	32.1940668317654	0.492904255085916	0.283173288338259	1	0.260866681249497	1
Cluster_123	28.6871030295286	0.543742337185751	0.999796130129449	1	0.999999999932746	1
Cluster_124	29.6556527204108	0.528560900295298	0.989504324427641	1	0.999984927615486	1
Cluster_125	30.1984045137764	0.535762891657293	0.998074811567219	1	0.997928926611683	1
Cluster_126	33.9361688735847	0.477860263997126	0.0367900449062959	1	0.000557589172160044	0.0473950796336037
Cluster_127	34.0806614648291	0.472567335794428	0.0133128455407891	1	0.000183442975048847	0.0163264247793474
Cluster_128	31.3487059947255	0.522978745651063	0.968345842847634	1	0.780451044112323	1
Cluster_129	27.361036257108	0.609298081998647	1	1	0.999999999999999	1
Cluster_13	34.9141032109379	0.443504716161771	2.48976573802289e-06	0.000234037979374152	3.15442446774742e-07	3.12288022306995e-05
Cluster_130	29.2947778319313	0.546653152568213	0.99991846107572	1	0.999998947982777	1
Cluster_131	47.182505960029	0.187250932186097	3.03002524713471e-141	3.96933307374647e-139	1.18197641782489e-142	1.54838910735061e-140
Cluster_132	32.8091766903207	0.454981862213535	0.000137314338301338	0.0120836617705177	0.032049020569026	1
Cluster_133	31.5679184511266	0.508182662940733	0.745783387076897	1	0.667567894601641	1
Cluster_134	32.249629446875	0.489961397123926	0.208606329892297	1	0.230288823758835	1
Cluster_14	51.0904645295135	0.134392481124391	3.64665338649428e-192	4.92298207176728e-190	3.24997988623424e-231	4.38747284641622e-229
Cluster_15	31.6332180377213	0.479183285241357	0.0462557158525248	1	0.638140260841763	1
Cluster_16	27.7385317137325	0.578823902415167	0.999999999905565	1	1	1
Cluster_17	43.8914402701075	0.203203920662573	1.97104567805168e-127	2.54264892468667e-125	2.39151103303242e-118	3.0611341222815e-116
Cluster_18	24.661995278557	0.662081485966193	1	1	1	1
Cluster_19	33.6555392705998	0.401700955037515	9.78772217330245e-16	9.9834766167685e-14	6.0931642740234e-05	0.005727574417582
Cluster_2	43.4619771913348	0.228798352674122	8.92860012198341e-107	1.10714641512594e-104	1.51062265169159e-96	1.85806586158066e-94
Cluster_20	37.9689811651698	0.322930175846304	9.4973480463512e-47	1.03521093705228e-44	1.30066539003333e-32	1.41772527513633e-30
Cluster_21	39.2088300028539	0.279783999284945	3.74885733546022e-71	4.34867450913386e-69	4.46574458987229e-51	5.13560627835313e-49
Cluster_22	44.221229858842	0.227590010135574	1.04062577650602e-107	1.30078222063253e-105	1.13483830830462e-98	1.40719950229773e-96
Cluster_23	42.7224682114096	0.229558942325043	3.43753587899411e-106	4.22816913116276e-104	2.35256330618464e-92	2.87012723354526e-90
Cluster_24	44.3096732690186	0.229646637805859	4.01463024024719e-106	4.89784889310157e-104	2.34415252224611e-104	2.93019065280764e-102
Cluster_25	46.6768816172675	0.184123407778926	4.88555924459968e-144	6.44893820287158e-142	6.599934836969e-146	8.71191398479908e-144
Cluster_26	38.5709709269227	0.305386863554264	4.89265088325094e-56	5.43084248040854e-54	4.01986979250306e-40	4.4620554696784e-38
Cluster_27	29.7171831948756	0.543236401719506	0.999762200609287	1	0.999919857089535	1
Cluster_28	33.5776874204187	0.476570971783979	0.0291517230545991	1	0.00236589284669222	0.198734999122146
Cluster_29	29.4143582051899	0.530894106020463	0.99373220388571	1	0.99999917601579	1
Cluster_3	33.9193276251501	0.455967593146935	0.000186514357756774	0.0162267491248393	0.000209348455826376	0.0184226641127211
Cluster_30	38.6016451960849	0.300212830186134	6.0844090123376e-59	6.81453809381811e-57	1.25723533398836e-41	1.40810357406696e-39
Cluster_31	34.2432104000739	0.432168388814779	2.10522034506035e-08	2.02101153125794e-06	8.59078166593587e-06	0.000833305821595779
Cluster_32	29.7136008750683	0.556361210939674	0.999997378392323	1	0.999846368088791	1
Cluster_33	31.6540991163623	0.49766510782328	0.425166498678633	1	0.613229116207435	1
Cluster_34	30.8015125935084	0.491345973849882	0.242159682073113	1	0.979374923523219	1
Cluster_35	31.7666767212236	0.456723966668971	0.000234962348156587	0.0199717995933099	0.541609145973244	1
Cluster_36	33.7693630591643	0.401314757631615	7.60571445529048e-16	7.83388588894919e-14	2.26557309663162e-05	0.00217495017276636
Cluster_37	32.4303587901082	0.497533564602056	0.421004580642513	1	0.158173552732713	1
Cluster_38	31.2843746926029	0.508314206161957	0.749179472748571	1	0.82551986596663	1
Cluster_39	33.3019267499324	0.458587495636307	0.000408841884833633	0.0343427183260252	0.00452166582908328	0.375298263813912
Cluster_4	40.0510919722936	0.298522162503099	6.5838033724655e-60	7.43969781088602e-58	1.19728005815485e-48	1.36489926629653e-46
Cluster_40	27.7135307676999	0.594480918643891	0.999999999999989	1	0.999999999999989	1
Cluster_41	35.0625457388763	0.389510439978346	2.14592215456452e-19	2.25321826229275e-17	2.17785339750904e-10	2.24318899943431e-08
Cluster_42	34.0401142140122	0.456322591199084	0.000207955989059662	0.0178842150591309	0.000125645212390793	0.0114337143275622
Cluster_43	30.0672022067562	0.535968638746899	0.998174232131717	1	0.999091796719112	1
Cluster_44	32.3557284481792	0.449444398535485	2.19782432768519e-05	0.00204397662474723	0.139468032528645	1
Cluster_45	25.960376767308	0.636385023635619	1	1	1	1
Cluster_46	31.7560523649837	0.512466249888273	0.843142150882724	1	0.540347501233164	1
Cluster_47	28.0334859013136	0.568184079560038	0.999999982086276	1	0.999999999999986	1
