C1	C2	Distance	Group1	Group2
lotus_japonicus_rhizosphere_bs1	arabidopsis_thaliana_rhizosphere_bs1	41.736167616846	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs2	arabidopsis_thaliana_rhizosphere_bs1	38.7034609394487	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs3	arabidopsis_thaliana_rhizosphere_bs1	41.953814949372	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs4	arabidopsis_thaliana_rhizosphere_bs1	35.2817825712854	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs5	arabidopsis_thaliana_rhizosphere_bs1	42.661142858039	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs6	arabidopsis_thaliana_rhizosphere_bs1	44.2885137413141	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs7	arabidopsis_thaliana_rhizosphere_bs1	36.0585263524787	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs8	arabidopsis_thaliana_rhizosphere_bs1	33.6540628188738	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs9	arabidopsis_thaliana_rhizosphere_bs1	41.9323448340495	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs10	arabidopsis_thaliana_rhizosphere_bs1	35.6939786208039	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs11	arabidopsis_thaliana_rhizosphere_bs1	41.6979922398207	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs12	arabidopsis_thaliana_rhizosphere_bs1	40.4324236960642	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs13	arabidopsis_thaliana_rhizosphere_bs1	35.6970545511212	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs14	arabidopsis_thaliana_rhizosphere_bs1	56.4007546162927	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs15	arabidopsis_thaliana_rhizosphere_bs1	41.7696813247956	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs16	arabidopsis_thaliana_rhizosphere_bs1	43.998338623307	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs17	arabidopsis_thaliana_rhizosphere_bs1	41.4373391426994	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs18	arabidopsis_thaliana_rhizosphere_bs1	43.6306838812787	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs19	arabidopsis_thaliana_rhizosphere_bs1	60.5315664020235	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs20	arabidopsis_thaliana_rhizosphere_bs1	50.3699656757269	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs21	arabidopsis_thaliana_rhizosphere_bs1	35.7803534755192	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs22	arabidopsis_thaliana_rhizosphere_bs1	38.6015511219439	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs23	arabidopsis_thaliana_rhizosphere_bs1	52.9580686558929	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs24	arabidopsis_thaliana_rhizosphere_bs1	32.8042054593079	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs25	arabidopsis_thaliana_rhizosphere_bs1	47.9033739122564	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs26	arabidopsis_thaliana_rhizosphere_bs1	36.3263383021056	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs27	arabidopsis_thaliana_rhizosphere_bs1	43.4069936961638	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs28	arabidopsis_thaliana_rhizosphere_bs1	38.1766078741616	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs29	arabidopsis_thaliana_rhizosphere_bs1	32.6196627042667	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs30	arabidopsis_thaliana_rhizosphere_bs1	34.7789505700005	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs31	arabidopsis_thaliana_rhizosphere_bs1	38.666799272221	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs32	arabidopsis_thaliana_rhizosphere_bs1	35.4779653999454	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs33	arabidopsis_thaliana_rhizosphere_bs1	47.2821937145338	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs1	arabidopsis_thaliana_rhizosphere_bs2	39.2995664076611	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
lotus_japonicus_rhizosphere_bs2	arabidopsis_thaliana_rhizosphere_bs2	34.24919485755	lotus_japonicus_rhizosphere	arabidopsis_thaliana_rhizosphere
