C1	C2	Distance	Group1	Group2
CAS_pm2	CAS_pm1	21.7635346557719	CAS	CAS
CAS_pm3	CAS_pm1	10.2916847287821	CAS	CAS
CAS_pm4	CAS_pm1	16.2404114670014	CAS	CAS
CAS_pm5	CAS_pm1	11.907986884689	CAS	CAS
CAS_pm6	CAS_pm1	9.68762029464134	CAS	CAS
CAS_pm7	CAS_pm1	11.7771996314254	CAS	CAS
CAS_pm8	CAS_pm1	11.705900775273	CAS	CAS
CAS_pm9	CAS_pm1	12.3618241517694	CAS	CAS
CAS_pm10	CAS_pm1	14.2506559718922	CAS	CAS
CAS_pm11	CAS_pm1	16.9806322923117	CAS	CAS
CAS_pm12	CAS_pm1	19.6326221166595	CAS	CAS
CAS_pm13	CAS_pm1	10.2946677549402	CAS	CAS
CAS_pm14	CAS_pm1	10.9707122451032	CAS	CAS
CAS_pm15	CAS_pm1	18.6836358220496	CAS	CAS
CAS_pm16	CAS_pm1	23.0389775734084	CAS	CAS
CAS_pm17	CAS_pm1	17.6389112567793	CAS	CAS
CAS_pm18	CAS_pm1	8.66990391328772	CAS	CAS
CAS_pm19	CAS_pm1	15.3977547257129	CAS	CAS
CAS_pm20	CAS_pm1	10.9970309511886	CAS	CAS
CAS_pm21	CAS_pm1	18.2693231719263	CAS	CAS
CAS_pm22	CAS_pm1	9.86177492050816	CAS	CAS
CAS_pm23	CAS_pm1	16.8406786332742	CAS	CAS
CAS_pm24	CAS_pm1	10.7072075272186	CAS	CAS
CAS_pm25	CAS_pm1	16.8039593379141	CAS	CAS
CAS_pm26	CAS_pm1	15.2148517965106	CAS	CAS
CAS_pm27	CAS_pm1	14.1073277909937	CAS	CAS
CAS_pm28	CAS_pm1	10.6161480911343	CAS	CAS
CAS_pm29	CAS_pm1	9.41594996262662	CAS	CAS
CAS_pm30	CAS_pm1	20.7696142781002	CAS	CAS
CAS_pm31	CAS_pm1	12.6804769732728	CAS	CAS
CAS_pm32	CAS_pm1	9.98731760172583	CAS	CAS
CAS_pm33	CAS_pm1	21.1690151458762	CAS	CAS
CAS_pm1	CAS_pm1	14.5051800732219	CAS	CAS
CAS_pm2	CAS_pm1	11.4354656832253	CAS	CAS
CAS_pm3	CAS_pm1	10.4733900135132	CAS	CAS
CAS_pm4	CAS_pm1	8.89351998694599	CAS	CAS
CAS_pm5	CAS_pm1	11.7330700809275	CAS	CAS
CAS_pm6	CAS_pm1	22.8338248676889	CAS	CAS
CAS_pm7	CAS_pm1	18.4314465945304	CAS	CAS
CAS_pm8	CAS_pm1	14.0141856826898	CAS	CAS
CAS_pm9	CAS_pm1	12.4787762364024	CAS	CAS
CAS_pm10	CAS_pm1	23.8157250158222	CAS	CAS
CAS_pm11	CAS_pm1	27.7947855907826	CAS	CAS
CAS_pm12	CAS_pm1	21.0755032461362	CAS	CAS
CAS_pm13	CAS_pm1	11.7885944647088	CAS	CAS
CAS_pm14	CAS_pm1	9.80731815947806	CAS	CAS
CAS_pm15	CAS_pm1	18.0082468008421	CAS	CAS
CAS_pm16	CAS_pm1	15.3219626446644	CAS	CAS
CAS_pm17	CAS_pm1	22.267734371438	CAS	CAS
CAS_pm18	CAS_pm1	17.0108804258789	CAS	CAS
CAS_pm19	CAS_pm1	22.7899177028079	CAS	CAS
CAS_pm20	CAS_pm1	15.8530403339054	CAS	CAS
CAS_pm21	CAS_pm1	9.95470830675376	CAS	CAS
CAS_pm22	CAS_pm1	10.4609333146517	CAS	CAS
CAS_pm23	CAS_pm1	20.0284422912752	CAS	CAS
CAS_pm24	CAS_pm1	20.4675409482911	CAS	CAS
CAS_pm25	CAS_pm1	12.326343291064	CAS	CAS
CAS_pm26	CAS_pm1	20.1755632291635	CAS	CAS
CAS_pm27	CAS_pm1	17.7341153628997	CAS	CAS
CAS_pm28	CAS_pm1	15.8115470809109	CAS	CAS
CAS_pm29	CAS_pm1	11.0816456652826	CAS	CAS
CAS_pm30	CAS_pm1	8.12088902780584	CAS	CAS
CAS_pm31	CAS_pm1	19.8810760110072	CAS	CAS
CAS_pm32	CAS_pm1	15.311189266806	CAS	CAS
CAS_pm33	CAS_pm1	11.3637993150169	CAS	CAS
CAS_pm3	CAS_pm2	22.0792085843482	CAS	CAS
CAS_pm4	CAS_pm2	21.9075036902952	CAS	CAS
CAS_pm5	CAS_pm2	26.3069758540954	CAS	CAS
CAS_pm6	CAS_pm2	23.8725806300124	CAS	CAS
CAS_pm7	CAS_pm2	24.4960165211179	CAS	CAS
CAS_pm8	CAS_pm2	25.4448364037506	CAS	CAS
CAS_pm9	CAS_pm2	27.5763552890994	CAS	CAS
CAS_pm10	CAS_pm2	26.1881266640144	CAS	CAS
CAS_pm11	CAS_pm2	35.7138795809408	CAS	CAS
CAS_pm12	CAS_pm2	25.8185429690955	CAS	CAS
CAS_pm13	CAS_pm2	25.6520900757469	CAS	CAS
CAS_pm14	CAS_pm2	20.3483392803166	CAS	CAS
CAS_pm15	CAS_pm2	27.1573907245838	CAS	CAS
CAS_pm16	CAS_pm2	27.4406450858319	CAS	CAS
CAS_pm17	CAS_pm2	30.4185996625633	CAS	CAS
CAS_pm18	CAS_pm2	18.1151536693746	CAS	CAS
CAS_pm19	CAS_pm2	28.9707778644346	CAS	CAS
CAS_pm20	CAS_pm2	24.0164020279636	CAS	CAS
CAS_pm21	CAS_pm2	15.7933083394423	CAS	CAS
CAS_pm22	CAS_pm2	24.2216272464909	CAS	CAS
CAS_pm23	CAS_pm2	26.0362790597627	CAS	CAS
CAS_pm24	CAS_pm2	23.8128447347413	CAS	CAS
CAS_pm25	CAS_pm2	28.2763191587514	CAS	CAS
CAS_pm26	CAS_pm2	28.3784046740785	CAS	CAS
CAS_pm27	CAS_pm2	29.5005460423376	CAS	CAS
CAS_pm28	CAS_pm2	20.1724369951142	CAS	CAS
CAS_pm29	CAS_pm2	20.2511286679626	CAS	CAS
CAS_pm30	CAS_pm2	24.2380743983679	CAS	CAS
CAS_pm31	CAS_pm2	28.0267575689266	CAS	CAS
CAS_pm32	CAS_pm2	24.0053063117756	CAS	CAS
CAS_pm33	CAS_pm2	16.4133114554106	CAS	CAS
CAS_pm1	CAS_pm2	17.7586247554728	CAS	CAS
CAS_pm2	CAS_pm2	26.6088920172344	CAS	CAS
CAS_pm3	CAS_pm2	23.4806450021148	CAS	CAS
CAS_pm4	CAS_pm2	26.6918220357445	CAS	CAS
CAS_pm5	CAS_pm2	15.3455306965545	CAS	CAS
CAS_pm6	CAS_pm2	32.929049228397	CAS	CAS
CAS_pm7	CAS_pm2	16.9934912739931	CAS	CAS
CAS_pm8	CAS_pm2	24.6509183527248	CAS	CAS
CAS_pm9	CAS_pm2	28.1110067658835	CAS	CAS
CAS_pm10	CAS_pm2	11.7325372066126	CAS	CAS
CAS_pm11	CAS_pm2	10.7386728467313	CAS	CAS
CAS_pm12	CAS_pm2	12.9349590615983	CAS	CAS
CAS_pm13	CAS_pm2	24.441456837191	CAS	CAS
CAS_pm14	CAS_pm2	19.981895515852	CAS	CAS
CAS_pm15	CAS_pm2	19.2858744011214	CAS	CAS
CAS_pm16	CAS_pm2	31.0425121620033	CAS	CAS
CAS_pm17	CAS_pm2	31.2400916709266	CAS	CAS
CAS_pm18	CAS_pm2	29.4124198384287	CAS	CAS
CAS_pm19	CAS_pm2	17.6979060056446	CAS	CAS
CAS_pm20	CAS_pm2	25.4128111076683	CAS	CAS
CAS_pm21	CAS_pm2	23.7249777691234	CAS	CAS
CAS_pm22	CAS_pm2	24.4067469667358	CAS	CAS
CAS_pm23	CAS_pm2	13.3538044828328	CAS	CAS
CAS_pm24	CAS_pm2	16.398207816241	CAS	CAS
CAS_pm25	CAS_pm2	22.1365789151476	CAS	CAS
CAS_pm26	CAS_pm2	14.2878810851792	CAS	CAS
CAS_pm27	CAS_pm2	14.162346949174	CAS	CAS
CAS_pm28	CAS_pm2	28.6011863901301	CAS	CAS
CAS_pm29	CAS_pm2	25.996394149949	CAS	CAS
CAS_pm30	CAS_pm2	21.2356298706339	CAS	CAS
CAS_pm31	CAS_pm2	22.8920191930861	CAS	CAS
CAS_pm32	CAS_pm2	32.4771923457126	CAS	CAS
CAS_pm33	CAS_pm2	29.4776502893189	CAS	CAS
CAS_pm4	CAS_pm3	16.0857855141335	CAS	CAS
CAS_pm5	CAS_pm3	12.0092067472685	CAS	CAS
CAS_pm6	CAS_pm3	10.7298712936442	CAS	CAS
CAS_pm7	CAS_pm3	9.51946403811537	CAS	CAS
CAS_pm8	CAS_pm3	11.8560110911417	CAS	CAS
CAS_pm9	CAS_pm3	13.2647833543569	CAS	CAS
CAS_pm10	CAS_pm3	12.5379968560175	CAS	CAS
CAS_pm11	CAS_pm3	16.4631187955691	CAS	CAS
CAS_pm12	CAS_pm3	17.5177874947063	CAS	CAS
CAS_pm13	CAS_pm3	12.4435322869322	CAS	CAS
CAS_pm14	CAS_pm3	9.11059659495799	CAS	CAS
CAS_pm15	CAS_pm3	16.6242677124214	CAS	CAS
CAS_pm16	CAS_pm3	21.6548119365121	CAS	CAS
CAS_pm17	CAS_pm3	17.9136230106435	CAS	CAS
CAS_pm18	CAS_pm3	7.83305981820958	CAS	CAS
CAS_pm19	CAS_pm3	12.705263148029	CAS	CAS
CAS_pm20	CAS_pm3	8.33832588702039	CAS	CAS
CAS_pm21	CAS_pm3	16.5610774499619	CAS	CAS
CAS_pm22	CAS_pm3	5.07467424210643	CAS	CAS
CAS_pm23	CAS_pm3	15.580315541967	CAS	CAS
CAS_pm24	CAS_pm3	6.39812052955193	CAS	CAS
CAS_pm25	CAS_pm3	16.6302795065538	CAS	CAS
CAS_pm26	CAS_pm3	13.2096431096008	CAS	CAS
CAS_pm27	CAS_pm3	13.6459960337471	CAS	CAS
CAS_pm28	CAS_pm3	11.4936977639756	CAS	CAS
CAS_pm29	CAS_pm3	8.51559477597713	CAS	CAS
CAS_pm30	CAS_pm3	20.1845639693048	CAS	CAS
CAS_pm31	CAS_pm3	9.77124081133783	CAS	CAS
CAS_pm32	CAS_pm3	9.57850382870573	CAS	CAS
CAS_pm33	CAS_pm3	20.1559461620137	CAS	CAS
CAS_pm1	CAS_pm3	14.6374563659689	CAS	CAS
CAS_pm2	CAS_pm3	9.98971986724156	CAS	CAS
CAS_pm3	CAS_pm3	6.98163631600086	CAS	CAS
CAS_pm4	CAS_pm3	8.92993116473944	CAS	CAS
CAS_pm5	CAS_pm3	12.6125076069895	CAS	CAS
CAS_pm6	CAS_pm3	23.6941163298858	CAS	CAS
CAS_pm7	CAS_pm3	16.8823219839598	CAS	CAS
CAS_pm8	CAS_pm3	13.5132034329041	CAS	CAS
CAS_pm9	CAS_pm3	11.0058144018064	CAS	CAS
CAS_pm10	CAS_pm3	23.3962693647183	CAS	CAS
CAS_pm11	CAS_pm3	27.8728414372527	CAS	CAS
CAS_pm12	CAS_pm3	20.2679646781309	CAS	CAS
CAS_pm13	CAS_pm3	7.53753848200153	CAS	CAS
CAS_pm14	CAS_pm3	8.88428492000353	CAS	CAS
CAS_pm15	CAS_pm3	15.7316807299446	CAS	CAS
CAS_pm16	CAS_pm3	13.1682647824878	CAS	CAS
CAS_pm17	CAS_pm3	20.610579372521	CAS	CAS
CAS_pm18	CAS_pm3	16.4329271726181	CAS	CAS
CAS_pm19	CAS_pm3	21.4602138452436	CAS	CAS
CAS_pm20	CAS_pm3	14.6019378498684	CAS	CAS
CAS_pm21	CAS_pm3	7.21184618811628	CAS	CAS
CAS_pm22	CAS_pm3	8.9744233519573	CAS	CAS
CAS_pm23	CAS_pm3	17.9932686776887	CAS	CAS
CAS_pm24	CAS_pm3	17.839077351478	CAS	CAS
CAS_pm25	CAS_pm3	9.04678235119401	CAS	CAS
CAS_pm26	CAS_pm3	17.8441532042845	CAS	CAS
CAS_pm27	CAS_pm3	17.9521836708121	CAS	CAS
CAS_pm28	CAS_pm3	14.6470187517077	CAS	CAS
CAS_pm29	CAS_pm3	11.243709601215	CAS	CAS
CAS_pm30	CAS_pm3	3.62242118279281	CAS	CAS
CAS_pm31	CAS_pm3	19.0338476349759	CAS	CAS
CAS_pm32	CAS_pm3	15.4803409670017	CAS	CAS
CAS_pm33	CAS_pm3	10.9344862680986	CAS	CAS
CAS_pm5	CAS_pm4	17.1326567051088	CAS	CAS
CAS_pm6	CAS_pm4	17.2097965288548	CAS	CAS
CAS_pm7	CAS_pm4	12.9091238052293	CAS	CAS
CAS_pm8	CAS_pm4	19.7737919493161	CAS	CAS
CAS_pm9	CAS_pm4	17.3344443989412	CAS	CAS
CAS_pm10	CAS_pm4	18.5518879690215	CAS	CAS
CAS_pm11	CAS_pm4	26.5319042109986	CAS	CAS
CAS_pm12	CAS_pm4	21.4575681398012	CAS	CAS
CAS_pm13	CAS_pm4	18.7478727361658	CAS	CAS
CAS_pm14	CAS_pm4	21.7792993859071	CAS	CAS
CAS_pm15	CAS_pm4	23.0231467530594	CAS	CAS
CAS_pm16	CAS_pm4	24.2892678871134	CAS	CAS
CAS_pm17	CAS_pm4	25.503454448354	CAS	CAS
CAS_pm18	CAS_pm4	15.6909838908001	CAS	CAS
CAS_pm19	CAS_pm4	21.0438851038664	CAS	CAS
CAS_pm20	CAS_pm4	16.3549243837748	CAS	CAS
CAS_pm21	CAS_pm4	13.5367665128628	CAS	CAS
CAS_pm22	CAS_pm4	14.1421208146748	CAS	CAS
CAS_pm23	CAS_pm4	15.87588547777	CAS	CAS
CAS_pm24	CAS_pm4	16.7199385753109	CAS	CAS
CAS_pm25	CAS_pm4	18.587262234215	CAS	CAS
CAS_pm26	CAS_pm4	21.4234758450345	CAS	CAS
CAS_pm27	CAS_pm4	21.3632417141485	CAS	CAS
CAS_pm28	CAS_pm4	12.2554225688569	CAS	CAS
CAS_pm29	CAS_pm4	12.6796906406539	CAS	CAS
CAS_pm30	CAS_pm4	17.8531998781791	CAS	CAS
CAS_pm31	CAS_pm4	20.8518275412444	CAS	CAS
CAS_pm32	CAS_pm4	19.6120349085869	CAS	CAS
CAS_pm33	CAS_pm4	12.7289614683576	CAS	CAS
CAS_pm1	CAS_pm4	8.96709375703568	CAS	CAS
CAS_pm2	CAS_pm4	19.3596022319581	CAS	CAS
CAS_pm3	CAS_pm4	16.376817411375	CAS	CAS
CAS_pm4	CAS_pm4	20.0459971037	CAS	CAS
CAS_pm5	CAS_pm4	12.6489005013373	CAS	CAS
CAS_pm6	CAS_pm4	24.8667634739472	CAS	CAS
CAS_pm7	CAS_pm4	13.3172612450014	CAS	CAS
CAS_pm8	CAS_pm4	12.6394213880752	CAS	CAS
CAS_pm9	CAS_pm4	17.6819202040257	CAS	CAS
CAS_pm10	CAS_pm4	16.7938464572254	CAS	CAS
CAS_pm11	CAS_pm4	22.9975540738774	CAS	CAS
CAS_pm12	CAS_pm4	16.1951863989943	CAS	CAS
CAS_pm13	CAS_pm4	18.8305253208842	CAS	CAS
CAS_pm14	CAS_pm4	11.8605934323677	CAS	CAS
CAS_pm15	CAS_pm4	18.7138404699765	CAS	CAS
CAS_pm16	CAS_pm4	18.4399619816384	CAS	CAS
CAS_pm17	CAS_pm4	31.0572658008742	CAS	CAS
