C1	C2	Distance	Group1	Group2
arabidopsis_thaliana_root_pm1	arabidopsis_thaliana_rhizosphere_pm1	20.82849284861	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm2	arabidopsis_thaliana_rhizosphere_pm1	25.3533477360894	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm3	arabidopsis_thaliana_rhizosphere_pm1	37.6659017194764	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm4	arabidopsis_thaliana_rhizosphere_pm1	20.6331551229374	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm5	arabidopsis_thaliana_rhizosphere_pm1	28.4473215455853	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm6	arabidopsis_thaliana_rhizosphere_pm1	24.0148855862976	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm7	arabidopsis_thaliana_rhizosphere_pm1	13.3677132016992	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm8	arabidopsis_thaliana_rhizosphere_pm1	19.1921542712174	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm9	arabidopsis_thaliana_rhizosphere_pm1	16.2730748073809	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm10	arabidopsis_thaliana_rhizosphere_pm1	33.1373035430322	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm11	arabidopsis_thaliana_rhizosphere_pm1	16.7760237503162	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm12	arabidopsis_thaliana_rhizosphere_pm1	32.4036460955642	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm13	arabidopsis_thaliana_rhizosphere_pm1	22.2417366423532	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm14	arabidopsis_thaliana_rhizosphere_pm1	29.1555559171676	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm15	arabidopsis_thaliana_rhizosphere_pm1	41.0062702550073	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm16	arabidopsis_thaliana_rhizosphere_pm1	20.874554450202	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm17	arabidopsis_thaliana_rhizosphere_pm1	25.002375971015	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
