C1	C2	Distance	Group1	Group2
CAS_pm2	CAS_pm1	18.2290231757261	CAS	CAS
CAS_pm3	CAS_pm1	14.181189440284	CAS	CAS
CAS_pm4	CAS_pm1	20.4482263585054	CAS	CAS
CAS_pm5	CAS_pm1	19.0805607995485	CAS	CAS
CAS_pm6	CAS_pm1	13.6860621708147	CAS	CAS
CAS_pm7	CAS_pm1	26.6263897539196	CAS	CAS
CAS_pm8	CAS_pm1	20.0338245320937	CAS	CAS
CAS_pm9	CAS_pm1	24.8233272733013	CAS	CAS
CAS_pm10	CAS_pm1	12.5491509673729	CAS	CAS
CAS_pm11	CAS_pm1	21.0078377229719	CAS	CAS
CAS_pm12	CAS_pm1	28.0481945044544	CAS	CAS
CAS_pm13	CAS_pm1	20.3359029422762	CAS	CAS
CAS_pm14	CAS_pm1	16.2016489965306	CAS	CAS
CAS_pm15	CAS_pm1	12.4648784996291	CAS	CAS
CAS_pm16	CAS_pm1	13.7384546435026	CAS	CAS
CAS_pm17	CAS_pm1	26.1767817621305	CAS	CAS
CAS_pm18	CAS_pm1	29.3997901275304	CAS	CAS
CAS_pm19	CAS_pm1	8.22333092407201	CAS	CAS
CAS_pm20	CAS_pm1	23.9229370170097	CAS	CAS
CAS_pm21	CAS_pm1	20.7246539019984	CAS	CAS
CAS_pm22	CAS_pm1	22.2415105653542	CAS	CAS
CAS_pm23	CAS_pm1	14.7428329460315	CAS	CAS
CAS_pm24	CAS_pm1	19.0189420691901	CAS	CAS
CAS_pm25	CAS_pm1	9.09847476077429	CAS	CAS
CAS_pm26	CAS_pm1	14.9514267029927	CAS	CAS
CAS_pm27	CAS_pm1	19.7880325238226	CAS	CAS
CAS_pm28	CAS_pm1	22.1396390104369	CAS	CAS
CAS_pm29	CAS_pm1	14.7021767713502	CAS	CAS
CAS_pm30	CAS_pm1	21.6758659896816	CAS	CAS
CAS_pm31	CAS_pm1	14.1546072738661	CAS	CAS
CAS_pm32	CAS_pm1	14.9329618133361	CAS	CAS
CAS_pm33	CAS_pm1	19.6409029155113	CAS	CAS
CAS_pm1	CAS_pm1	18.2620509231383	CAS	CAS
CAS_pm2	CAS_pm1	21.3999777718494	CAS	CAS
CAS_pm3	CAS_pm1	14.134927324342	CAS	CAS
CAS_pm4	CAS_pm1	10.2600607619896	CAS	CAS
CAS_pm5	CAS_pm1	13.7683596645607	CAS	CAS
CAS_pm6	CAS_pm1	16.3843436526296	CAS	CAS
CAS_pm7	CAS_pm1	18.7507039875331	CAS	CAS
CAS_pm8	CAS_pm1	7.49358704947842	CAS	CAS
CAS_pm9	CAS_pm1	23.9439968443397	CAS	CAS
CAS_pm10	CAS_pm1	22.5595634439192	CAS	CAS
CAS_pm11	CAS_pm1	19.8023002664524	CAS	CAS
CAS_pm12	CAS_pm1	19.4131119834324	CAS	CAS
CAS_pm13	CAS_pm1	11.0147871816151	CAS	CAS
CAS_pm14	CAS_pm1	14.7476758956271	CAS	CAS
CAS_pm15	CAS_pm1	20.7275665650614	CAS	CAS
CAS_pm16	CAS_pm1	15.3659356145675	CAS	CAS
CAS_pm17	CAS_pm1	21.5435513019768	CAS	CAS
CAS_pm18	CAS_pm1	9.62258716465958	CAS	CAS
CAS_pm19	CAS_pm1	13.9689622759275	CAS	CAS
CAS_pm20	CAS_pm1	14.3076109115683	CAS	CAS
CAS_pm21	CAS_pm1	11.7415983016495	CAS	CAS
CAS_pm22	CAS_pm1	10.9189289873195	CAS	CAS
CAS_pm23	CAS_pm1	12.9035150094506	CAS	CAS
CAS_pm24	CAS_pm1	15.0444358111397	CAS	CAS
CAS_pm25	CAS_pm1	16.1756048937425	CAS	CAS
CAS_pm26	CAS_pm1	23.1852185863308	CAS	CAS
CAS_pm27	CAS_pm1	14.7404774424076	CAS	CAS
CAS_pm28	CAS_pm1	10.4891482970011	CAS	CAS
CAS_pm29	CAS_pm1	10.4565072141963	CAS	CAS
CAS_pm30	CAS_pm1	15.0717532912506	CAS	CAS
CAS_pm31	CAS_pm1	18.892860764923	CAS	CAS
CAS_pm32	CAS_pm1	14.5461115743571	CAS	CAS
CAS_pm33	CAS_pm1	19.769234612958	CAS	CAS
CAS_pm3	CAS_pm2	11.1820584971726	CAS	CAS
CAS_pm4	CAS_pm2	20.2977269437412	CAS	CAS
CAS_pm5	CAS_pm2	15.172536782113	CAS	CAS
CAS_pm6	CAS_pm2	12.3153476839003	CAS	CAS
CAS_pm7	CAS_pm2	12.4699081859042	CAS	CAS
CAS_pm8	CAS_pm2	13.5776526034247	CAS	CAS
CAS_pm9	CAS_pm2	20.94675450605	CAS	CAS
CAS_pm10	CAS_pm2	23.7258989137238	CAS	CAS
CAS_pm11	CAS_pm2	18.4567060932468	CAS	CAS
CAS_pm12	CAS_pm2	24.0636693809182	CAS	CAS
CAS_pm13	CAS_pm2	14.0640505962609	CAS	CAS
CAS_pm14	CAS_pm2	26.4533731575968	CAS	CAS
CAS_pm15	CAS_pm2	16.8214287008004	CAS	CAS
CAS_pm16	CAS_pm2	20.1185491494022	CAS	CAS
CAS_pm17	CAS_pm2	23.9093052127837	CAS	CAS
CAS_pm18	CAS_pm2	19.8228753736161	CAS	CAS
CAS_pm19	CAS_pm2	14.0966770826463	CAS	CAS
CAS_pm20	CAS_pm2	13.561872734742	CAS	CAS
CAS_pm21	CAS_pm2	15.3845968735774	CAS	CAS
CAS_pm22	CAS_pm2	11.3086395003192	CAS	CAS
CAS_pm23	CAS_pm2	11.9127307658735	CAS	CAS
CAS_pm24	CAS_pm2	12.9259785146882	CAS	CAS
CAS_pm25	CAS_pm2	18.3851178614437	CAS	CAS
CAS_pm26	CAS_pm2	20.8199442918903	CAS	CAS
CAS_pm27	CAS_pm2	9.90417647459271	CAS	CAS
CAS_pm28	CAS_pm2	17.628592980267	CAS	CAS
CAS_pm29	CAS_pm2	11.2636364988409	CAS	CAS
CAS_pm30	CAS_pm2	20.1419270528513	CAS	CAS
CAS_pm31	CAS_pm2	13.9957743201061	CAS	CAS
CAS_pm32	CAS_pm2	18.0961495396673	CAS	CAS
CAS_pm33	CAS_pm2	15.3147490359649	CAS	CAS
CAS_pm1	CAS_pm2	13.3393067662145	CAS	CAS
CAS_pm2	CAS_pm2	11.5142688350665	CAS	CAS
CAS_pm3	CAS_pm2	10.3943182306781	CAS	CAS
CAS_pm4	CAS_pm2	14.3105491196523	CAS	CAS
CAS_pm5	CAS_pm2	12.9558392663016	CAS	CAS
CAS_pm6	CAS_pm2	16.9635174366713	CAS	CAS
CAS_pm7	CAS_pm2	12.2645340181273	CAS	CAS
CAS_pm8	CAS_pm2	16.6413200649092	CAS	CAS
CAS_pm9	CAS_pm2	16.590669962988	CAS	CAS
CAS_pm10	CAS_pm2	14.3339182145006	CAS	CAS
CAS_pm11	CAS_pm2	15.7061847321505	CAS	CAS
CAS_pm12	CAS_pm2	9.85825032845999	CAS	CAS
CAS_pm13	CAS_pm2	15.0021588269253	CAS	CAS
CAS_pm14	CAS_pm2	10.5489290746392	CAS	CAS
CAS_pm15	CAS_pm2	7.36960452376712	CAS	CAS
CAS_pm16	CAS_pm2	8.62452236779491	CAS	CAS
CAS_pm17	CAS_pm2	14.0771655227339	CAS	CAS
CAS_pm18	CAS_pm2	15.3630904161244	CAS	CAS
CAS_pm19	CAS_pm2	18.0620961119355	CAS	CAS
CAS_pm20	CAS_pm2	17.0076566343103	CAS	CAS
CAS_pm21	CAS_pm2	14.6478486416079	CAS	CAS
CAS_pm22	CAS_pm2	17.9022115749687	CAS	CAS
CAS_pm23	CAS_pm2	25.828717574503	CAS	CAS
CAS_pm24	CAS_pm2	18.5685892523293	CAS	CAS
CAS_pm25	CAS_pm2	14.4750102367604	CAS	CAS
CAS_pm26	CAS_pm2	14.2678954462151	CAS	CAS
