C1	C2	Distance	Group1	Group2
lotus_japonicus_root_pm1	CAS_pm1	109.336136980121	lotus_japonicus_root	CAS
lotus_japonicus_root_pm2	CAS_pm1	93.0551842350441	lotus_japonicus_root	CAS
lotus_japonicus_root_pm3	CAS_pm1	116.755843616333	lotus_japonicus_root	CAS
lotus_japonicus_root_pm4	CAS_pm1	96.5914922196636	lotus_japonicus_root	CAS
lotus_japonicus_root_pm5	CAS_pm1	98.5221472919634	lotus_japonicus_root	CAS
lotus_japonicus_root_pm6	CAS_pm1	101.155473723205	lotus_japonicus_root	CAS
lotus_japonicus_root_pm7	CAS_pm1	110.497947592758	lotus_japonicus_root	CAS
lotus_japonicus_root_pm8	CAS_pm1	103.735590696372	lotus_japonicus_root	CAS
lotus_japonicus_root_pm9	CAS_pm1	102.366482508809	lotus_japonicus_root	CAS
lotus_japonicus_root_pm10	CAS_pm1	96.031693574647	lotus_japonicus_root	CAS
lotus_japonicus_root_pm11	CAS_pm1	105.928321328346	lotus_japonicus_root	CAS
lotus_japonicus_root_pm12	CAS_pm1	100.818259668688	lotus_japonicus_root	CAS
lotus_japonicus_root_pm13	CAS_pm1	107.724541961195	lotus_japonicus_root	CAS
lotus_japonicus_root_pm14	CAS_pm1	105.685815607069	lotus_japonicus_root	CAS
lotus_japonicus_root_pm15	CAS_pm1	103.710369817235	lotus_japonicus_root	CAS
lotus_japonicus_root_pm16	CAS_pm1	100.609694657823	lotus_japonicus_root	CAS
lotus_japonicus_root_pm17	CAS_pm1	95.5313433220007	lotus_japonicus_root	CAS
lotus_japonicus_root_pm18	CAS_pm1	121.818781358962	lotus_japonicus_root	CAS
lotus_japonicus_root_pm19	CAS_pm1	106.874586282815	lotus_japonicus_root	CAS
lotus_japonicus_root_pm20	CAS_pm1	101.481308913341	lotus_japonicus_root	CAS
lotus_japonicus_root_pm21	CAS_pm1	118.232651804542	lotus_japonicus_root	CAS
lotus_japonicus_root_pm22	CAS_pm1	104.194255695857	lotus_japonicus_root	CAS
lotus_japonicus_root_pm23	CAS_pm1	114.465562872549	lotus_japonicus_root	CAS
lotus_japonicus_root_pm24	CAS_pm1	124.851318221417	lotus_japonicus_root	CAS
lotus_japonicus_root_pm25	CAS_pm1	101.309403034514	lotus_japonicus_root	CAS
lotus_japonicus_root_pm26	CAS_pm1	97.7243993167754	lotus_japonicus_root	CAS
lotus_japonicus_root_pm27	CAS_pm1	98.690271042449	lotus_japonicus_root	CAS
lotus_japonicus_root_pm28	CAS_pm1	113.842348337635	lotus_japonicus_root	CAS
lotus_japonicus_root_pm29	CAS_pm1	95.8958986061084	lotus_japonicus_root	CAS
lotus_japonicus_root_pm30	CAS_pm1	105.821931035567	lotus_japonicus_root	CAS
lotus_japonicus_root_pm31	CAS_pm1	98.8964758686634	lotus_japonicus_root	CAS
lotus_japonicus_root_pm32	CAS_pm1	97.0023231750995	lotus_japonicus_root	CAS
lotus_japonicus_root_pm33	CAS_pm1	108.555766651082	lotus_japonicus_root	CAS
lotus_japonicus_root_pm1	CAS_pm2	92.9308900550963	lotus_japonicus_root	CAS
lotus_japonicus_root_pm2	CAS_pm2	78.2764244652208	lotus_japonicus_root	CAS
lotus_japonicus_root_pm3	CAS_pm2	98.2677479735408	lotus_japonicus_root	CAS
lotus_japonicus_root_pm4	CAS_pm2	83.4178260272632	lotus_japonicus_root	CAS
lotus_japonicus_root_pm5	CAS_pm2	81.661810786615	lotus_japonicus_root	CAS
lotus_japonicus_root_pm6	CAS_pm2	86.7981519346747	lotus_japonicus_root	CAS
lotus_japonicus_root_pm7	CAS_pm2	91.8073518298456	lotus_japonicus_root	CAS
lotus_japonicus_root_pm8	CAS_pm2	86.4581486254653	lotus_japonicus_root	CAS
lotus_japonicus_root_pm9	CAS_pm2	88.0949232836681	lotus_japonicus_root	CAS
lotus_japonicus_root_pm10	CAS_pm2	78.8761342455359	lotus_japonicus_root	CAS
lotus_japonicus_root_pm11	CAS_pm2	88.3994333767707	lotus_japonicus_root	CAS
lotus_japonicus_root_pm12	CAS_pm2	85.6223899449732	lotus_japonicus_root	CAS
lotus_japonicus_root_pm13	CAS_pm2	92.5259250303869	lotus_japonicus_root	CAS
lotus_japonicus_root_pm14	CAS_pm2	87.4605761081948	lotus_japonicus_root	CAS
lotus_japonicus_root_pm15	CAS_pm2	85.3354772060419	lotus_japonicus_root	CAS
lotus_japonicus_root_pm16	CAS_pm2	87.98670802187	lotus_japonicus_root	CAS
lotus_japonicus_root_pm17	CAS_pm2	78.3033431351671	lotus_japonicus_root	CAS
lotus_japonicus_root_pm18	CAS_pm2	104.758941785972	lotus_japonicus_root	CAS
lotus_japonicus_root_pm19	CAS_pm2	92.1312679509392	lotus_japonicus_root	CAS
lotus_japonicus_root_pm20	CAS_pm2	84.833698802176	lotus_japonicus_root	CAS
lotus_japonicus_root_pm21	CAS_pm2	99.5033633252064	lotus_japonicus_root	CAS
lotus_japonicus_root_pm22	CAS_pm2	85.9675102476084	lotus_japonicus_root	CAS
lotus_japonicus_root_pm23	CAS_pm2	95.7317825937989	lotus_japonicus_root	CAS
lotus_japonicus_root_pm24	CAS_pm2	106.415620968938	lotus_japonicus_root	CAS
lotus_japonicus_root_pm25	CAS_pm2	87.1210928460899	lotus_japonicus_root	CAS
lotus_japonicus_root_pm26	CAS_pm2	80.6800608493914	lotus_japonicus_root	CAS
lotus_japonicus_root_pm27	CAS_pm2	82.1500973016152	lotus_japonicus_root	CAS
lotus_japonicus_root_pm28	CAS_pm2	99.8001024285733	lotus_japonicus_root	CAS
lotus_japonicus_root_pm29	CAS_pm2	78.4217395700759	lotus_japonicus_root	CAS
lotus_japonicus_root_pm30	CAS_pm2	90.4348856341825	lotus_japonicus_root	CAS
lotus_japonicus_root_pm31	CAS_pm2	85.1341536089202	lotus_japonicus_root	CAS
lotus_japonicus_root_pm32	CAS_pm2	79.9814392329979	lotus_japonicus_root	CAS
lotus_japonicus_root_pm33	CAS_pm2	90.3108958454464	lotus_japonicus_root	CAS
lotus_japonicus_root_pm1	CAS_pm3	104.324924760361	lotus_japonicus_root	CAS
lotus_japonicus_root_pm2	CAS_pm3	87.5378749487884	lotus_japonicus_root	CAS
lotus_japonicus_root_pm3	CAS_pm3	112.320386444826	lotus_japonicus_root	CAS
lotus_japonicus_root_pm4	CAS_pm3	90.3864854140674	lotus_japonicus_root	CAS
lotus_japonicus_root_pm5	CAS_pm3	93.8649651980584	lotus_japonicus_root	CAS
lotus_japonicus_root_pm6	CAS_pm3	95.1256919477091	lotus_japonicus_root	CAS
lotus_japonicus_root_pm7	CAS_pm3	106.457733369371	lotus_japonicus_root	CAS
lotus_japonicus_root_pm8	CAS_pm3	98.897611153472	lotus_japonicus_root	CAS
lotus_japonicus_root_pm9	CAS_pm3	96.9515023495242	lotus_japonicus_root	CAS
lotus_japonicus_root_pm10	CAS_pm3	91.5726799182102	lotus_japonicus_root	CAS
lotus_japonicus_root_pm11	CAS_pm3	100.821571631013	lotus_japonicus_root	CAS
lotus_japonicus_root_pm12	CAS_pm3	95.2371028585673	lotus_japonicus_root	CAS
lotus_japonicus_root_pm13	CAS_pm3	102.632431479601	lotus_japonicus_root	CAS
lotus_japonicus_root_pm14	CAS_pm3	100.944117261828	lotus_japonicus_root	CAS
lotus_japonicus_root_pm15	CAS_pm3	99.1388248434381	lotus_japonicus_root	CAS
lotus_japonicus_root_pm16	CAS_pm3	94.7130552155188	lotus_japonicus_root	CAS
lotus_japonicus_root_pm17	CAS_pm3	90.3796491814641	lotus_japonicus_root	CAS
lotus_japonicus_root_pm18	CAS_pm3	117.35387409445	lotus_japonicus_root	CAS
lotus_japonicus_root_pm19	CAS_pm3	101.175917604668	lotus_japonicus_root	CAS
lotus_japonicus_root_pm20	CAS_pm3	96.3160294332763	lotus_japonicus_root	CAS
lotus_japonicus_root_pm21	CAS_pm3	113.737675113089	lotus_japonicus_root	CAS
lotus_japonicus_root_pm22	CAS_pm3	99.4607761847502	lotus_japonicus_root	CAS
lotus_japonicus_root_pm23	CAS_pm3	110.228917824213	lotus_japonicus_root	CAS
lotus_japonicus_root_pm24	CAS_pm3	121.192001922845	lotus_japonicus_root	CAS
lotus_japonicus_root_pm25	CAS_pm3	95.230869960253	lotus_japonicus_root	CAS
lotus_japonicus_root_pm26	CAS_pm3	92.8656177380566	lotus_japonicus_root	CAS
lotus_japonicus_root_pm27	CAS_pm3	93.619036693333	lotus_japonicus_root	CAS
lotus_japonicus_root_pm28	CAS_pm3	108.214845389997	lotus_japonicus_root	CAS
lotus_japonicus_root_pm29	CAS_pm3	90.9744248287448	lotus_japonicus_root	CAS
lotus_japonicus_root_pm30	CAS_pm3	100.30618270996	lotus_japonicus_root	CAS
lotus_japonicus_root_pm31	CAS_pm3	93.2262892576563	lotus_japonicus_root	CAS
lotus_japonicus_root_pm32	CAS_pm3	92.1997767683734	lotus_japonicus_root	CAS
lotus_japonicus_root_pm33	CAS_pm3	104.235545471808	lotus_japonicus_root	CAS
lotus_japonicus_root_pm1	CAS_pm4	115.384021596268	lotus_japonicus_root	CAS
lotus_japonicus_root_pm2	CAS_pm4	99.119107532427	lotus_japonicus_root	CAS
lotus_japonicus_root_pm3	CAS_pm4	119.776767596428	lotus_japonicus_root	CAS
lotus_japonicus_root_pm4	CAS_pm4	103.675525173024	lotus_japonicus_root	CAS
lotus_japonicus_root_pm5	CAS_pm4	102.099362029088	lotus_japonicus_root	CAS
lotus_japonicus_root_pm6	CAS_pm4	106.8738925569	lotus_japonicus_root	CAS
lotus_japonicus_root_pm7	CAS_pm4	113.871493867467	lotus_japonicus_root	CAS
lotus_japonicus_root_pm8	CAS_pm4	107.993731324507	lotus_japonicus_root	CAS
lotus_japonicus_root_pm9	CAS_pm4	108.966666767604	lotus_japonicus_root	CAS
lotus_japonicus_root_pm10	CAS_pm4	101.011699505012	lotus_japonicus_root	CAS
lotus_japonicus_root_pm11	CAS_pm4	108.245823893249	lotus_japonicus_root	CAS
lotus_japonicus_root_pm12	CAS_pm4	105.804084461529	lotus_japonicus_root	CAS
lotus_japonicus_root_pm13	CAS_pm4	114.246630876565	lotus_japonicus_root	CAS
lotus_japonicus_root_pm14	CAS_pm4	105.997407297155	lotus_japonicus_root	CAS
lotus_japonicus_root_pm15	CAS_pm4	104.971481798248	lotus_japonicus_root	CAS
lotus_japonicus_root_pm16	CAS_pm4	108.047855706446	lotus_japonicus_root	CAS
lotus_japonicus_root_pm17	CAS_pm4	98.3400337597324	lotus_japonicus_root	CAS
lotus_japonicus_root_pm18	CAS_pm4	127.609596892501	lotus_japonicus_root	CAS
lotus_japonicus_root_pm19	CAS_pm4	113.269538596223	lotus_japonicus_root	CAS
lotus_japonicus_root_pm20	CAS_pm4	105.421899927398	lotus_japonicus_root	CAS
lotus_japonicus_root_pm21	CAS_pm4	120.197180022163	lotus_japonicus_root	CAS
lotus_japonicus_root_pm22	CAS_pm4	105.145318259157	lotus_japonicus_root	CAS
lotus_japonicus_root_pm23	CAS_pm4	117.631198444846	lotus_japonicus_root	CAS
lotus_japonicus_root_pm24	CAS_pm4	129.471462296133	lotus_japonicus_root	CAS
lotus_japonicus_root_pm25	CAS_pm4	106.300471471695	lotus_japonicus_root	CAS
lotus_japonicus_root_pm26	CAS_pm4	101.022341711399	lotus_japonicus_root	CAS
lotus_japonicus_root_pm27	CAS_pm4	102.757744764709	lotus_japonicus_root	CAS
lotus_japonicus_root_pm28	CAS_pm4	120.973047841731	lotus_japonicus_root	CAS
lotus_japonicus_root_pm29	CAS_pm4	98.4266066728534	lotus_japonicus_root	CAS
lotus_japonicus_root_pm30	CAS_pm4	110.720276093191	lotus_japonicus_root	CAS
lotus_japonicus_root_pm31	CAS_pm4	105.770809973864	lotus_japonicus_root	CAS
lotus_japonicus_root_pm32	CAS_pm4	100.419860525427	lotus_japonicus_root	CAS
lotus_japonicus_root_pm33	CAS_pm4	111.771537259234	lotus_japonicus_root	CAS
lotus_japonicus_root_pm1	CAS_pm5	109.948003193462	lotus_japonicus_root	CAS
lotus_japonicus_root_pm2	CAS_pm5	95.1604368819151	lotus_japonicus_root	CAS
lotus_japonicus_root_pm3	CAS_pm5	117.040409468047	lotus_japonicus_root	CAS
lotus_japonicus_root_pm4	CAS_pm5	99.1681822693006	lotus_japonicus_root	CAS
lotus_japonicus_root_pm5	CAS_pm5	100.025224420096	lotus_japonicus_root	CAS
lotus_japonicus_root_pm6	CAS_pm5	103.301865383791	lotus_japonicus_root	CAS
lotus_japonicus_root_pm7	CAS_pm5	110.361632372653	lotus_japonicus_root	CAS
lotus_japonicus_root_pm8	CAS_pm5	105.106954675186	lotus_japonicus_root	CAS
lotus_japonicus_root_pm9	CAS_pm5	104.314052935901	lotus_japonicus_root	CAS
lotus_japonicus_root_pm10	CAS_pm5	96.3216193726903	lotus_japonicus_root	CAS
lotus_japonicus_root_pm11	CAS_pm5	107.326342042695	lotus_japonicus_root	CAS
lotus_japonicus_root_pm12	CAS_pm5	102.817309612342	lotus_japonicus_root	CAS
lotus_japonicus_root_pm13	CAS_pm5	108.91763031783	lotus_japonicus_root	CAS
lotus_japonicus_root_pm14	CAS_pm5	106.869177795025	lotus_japonicus_root	CAS
lotus_japonicus_root_pm15	CAS_pm5	104.397473653034	lotus_japonicus_root	CAS
lotus_japonicus_root_pm16	CAS_pm5	103.250828864078	lotus_japonicus_root	CAS
lotus_japonicus_root_pm17	CAS_pm5	97.2028895457127	lotus_japonicus_root	CAS
lotus_japonicus_root_pm18	CAS_pm5	122.026761934008	lotus_japonicus_root	CAS
lotus_japonicus_root_pm19	CAS_pm5	108.947472800824	lotus_japonicus_root	CAS
lotus_japonicus_root_pm20	CAS_pm5	102.761515038707	lotus_japonicus_root	CAS
lotus_japonicus_root_pm21	CAS_pm5	118.295808903323	lotus_japonicus_root	CAS
lotus_japonicus_root_pm22	CAS_pm5	105.21466801708	lotus_japonicus_root	CAS
lotus_japonicus_root_pm23	CAS_pm5	114.347288227486	lotus_japonicus_root	CAS
lotus_japonicus_root_pm24	CAS_pm5	123.969660079936	lotus_japonicus_root	CAS
lotus_japonicus_root_pm25	CAS_pm5	104.171498209941	lotus_japonicus_root	CAS
