C1	C2	Distance	Group1	Group2
CAS_pm1	arabidopsis_thaliana_root_pm1	20.71809817462	CAS	arabidopsis_thaliana_root
CAS_pm2	arabidopsis_thaliana_root_pm1	48.6388858734414	CAS	arabidopsis_thaliana_root
CAS_pm3	arabidopsis_thaliana_root_pm1	67.0803825707449	CAS	arabidopsis_thaliana_root
CAS_pm4	arabidopsis_thaliana_root_pm1	45.0144272749191	CAS	arabidopsis_thaliana_root
CAS_pm5	arabidopsis_thaliana_root_pm1	30.3034271205964	CAS	arabidopsis_thaliana_root
CAS_pm6	arabidopsis_thaliana_root_pm1	39.3507533117286	CAS	arabidopsis_thaliana_root
CAS_pm7	arabidopsis_thaliana_root_pm1	53.5255447623043	CAS	arabidopsis_thaliana_root
CAS_pm8	arabidopsis_thaliana_root_pm1	77.9782441346958	CAS	arabidopsis_thaliana_root
CAS_pm9	arabidopsis_thaliana_root_pm1	53.6083385972681	CAS	arabidopsis_thaliana_root
CAS_pm10	arabidopsis_thaliana_root_pm1	16.8305255416105	CAS	arabidopsis_thaliana_root
CAS_pm11	arabidopsis_thaliana_root_pm1	26.6690498626963	CAS	arabidopsis_thaliana_root
CAS_pm12	arabidopsis_thaliana_root_pm1	67.0699141691205	CAS	arabidopsis_thaliana_root
CAS_pm13	arabidopsis_thaliana_root_pm1	63.331300354943	CAS	arabidopsis_thaliana_root
CAS_pm14	arabidopsis_thaliana_root_pm1	15.5218844939138	CAS	arabidopsis_thaliana_root
CAS_pm15	arabidopsis_thaliana_root_pm1	16.9029224626592	CAS	arabidopsis_thaliana_root
CAS_pm16	arabidopsis_thaliana_root_pm1	55.4839280562217	CAS	arabidopsis_thaliana_root
CAS_pm17	arabidopsis_thaliana_root_pm1	30.1928340733431	CAS	arabidopsis_thaliana_root
CAS_pm18	arabidopsis_thaliana_root_pm1	55.0792694019856	CAS	arabidopsis_thaliana_root
CAS_pm19	arabidopsis_thaliana_root_pm1	37.2241141721025	CAS	arabidopsis_thaliana_root
CAS_pm20	arabidopsis_thaliana_root_pm1	74.3449076220998	CAS	arabidopsis_thaliana_root
CAS_pm21	arabidopsis_thaliana_root_pm1	57.3617190624848	CAS	arabidopsis_thaliana_root
CAS_pm22	arabidopsis_thaliana_root_pm1	90.0871334000137	CAS	arabidopsis_thaliana_root
CAS_pm23	arabidopsis_thaliana_root_pm1	72.9908182906684	CAS	arabidopsis_thaliana_root
CAS_pm24	arabidopsis_thaliana_root_pm1	24.6749018387566	CAS	arabidopsis_thaliana_root
CAS_pm25	arabidopsis_thaliana_root_pm1	58.3273538176096	CAS	arabidopsis_thaliana_root
CAS_pm26	arabidopsis_thaliana_root_pm1	21.0707639289558	CAS	arabidopsis_thaliana_root
CAS_pm27	arabidopsis_thaliana_root_pm1	16.0569797179645	CAS	arabidopsis_thaliana_root
CAS_pm28	arabidopsis_thaliana_root_pm1	43.6173776672447	CAS	arabidopsis_thaliana_root
CAS_pm29	arabidopsis_thaliana_root_pm1	58.172757638782	CAS	arabidopsis_thaliana_root
CAS_pm30	arabidopsis_thaliana_root_pm1	64.1623185431632	CAS	arabidopsis_thaliana_root
CAS_pm31	arabidopsis_thaliana_root_pm1	71.6149478121542	CAS	arabidopsis_thaliana_root
CAS_pm32	arabidopsis_thaliana_root_pm1	29.8436134735265	CAS	arabidopsis_thaliana_root
CAS_pm33	arabidopsis_thaliana_root_pm1	58.619618597409	CAS	arabidopsis_thaliana_root
CAS_pm1	arabidopsis_thaliana_root_pm2	38.0314279023398	CAS	arabidopsis_thaliana_root
CAS_pm2	arabidopsis_thaliana_root_pm2	28.1502757191985	CAS	arabidopsis_thaliana_root
CAS_pm3	arabidopsis_thaliana_root_pm2	49.6341323632279	CAS	arabidopsis_thaliana_root
CAS_pm4	arabidopsis_thaliana_root_pm2	22.0927543801948	CAS	arabidopsis_thaliana_root
CAS_pm5	arabidopsis_thaliana_root_pm2	33.0083137943438	CAS	arabidopsis_thaliana_root
CAS_pm6	arabidopsis_thaliana_root_pm2	19.1270947673444	CAS	arabidopsis_thaliana_root
CAS_pm7	arabidopsis_thaliana_root_pm2	42.4934729838415	CAS	arabidopsis_thaliana_root
CAS_pm8	arabidopsis_thaliana_root_pm2	53.5148105827892	CAS	arabidopsis_thaliana_root
CAS_pm9	arabidopsis_thaliana_root_pm2	31.8164486794982	CAS	arabidopsis_thaliana_root
