C1	C2	Distance	Group1	Group2
lotus_japonicus_root_pm1	CAS_pm1	99.5472523878513	lotus_japonicus_root	CAS
lotus_japonicus_root_pm2	CAS_pm1	62.8258995207456	lotus_japonicus_root	CAS
lotus_japonicus_root_pm3	CAS_pm1	76.6139989877826	lotus_japonicus_root	CAS
lotus_japonicus_root_pm4	CAS_pm1	79.1083998442555	lotus_japonicus_root	CAS
lotus_japonicus_root_pm5	CAS_pm1	68.5009031346567	lotus_japonicus_root	CAS
lotus_japonicus_root_pm6	CAS_pm1	68.9391378160744	lotus_japonicus_root	CAS
lotus_japonicus_root_pm7	CAS_pm1	72.9251075902168	lotus_japonicus_root	CAS
lotus_japonicus_root_pm8	CAS_pm1	68.421927981049	lotus_japonicus_root	CAS
lotus_japonicus_root_pm9	CAS_pm1	79.6798336292126	lotus_japonicus_root	CAS
lotus_japonicus_root_pm10	CAS_pm1	75.211264390078	lotus_japonicus_root	CAS
lotus_japonicus_root_pm11	CAS_pm1	72.1800555907078	lotus_japonicus_root	CAS
lotus_japonicus_root_pm12	CAS_pm1	91.8156508162092	lotus_japonicus_root	CAS
lotus_japonicus_root_pm13	CAS_pm1	79.8103145960692	lotus_japonicus_root	CAS
lotus_japonicus_root_pm14	CAS_pm1	70.5424284136598	lotus_japonicus_root	CAS
lotus_japonicus_root_pm15	CAS_pm1	81.4791996517664	lotus_japonicus_root	CAS
lotus_japonicus_root_pm16	CAS_pm1	73.4095191874429	lotus_japonicus_root	CAS
lotus_japonicus_root_pm17	CAS_pm1	82.9639998818344	lotus_japonicus_root	CAS
lotus_japonicus_root_pm18	CAS_pm1	68.6556298119254	lotus_japonicus_root	CAS
lotus_japonicus_root_pm19	CAS_pm1	65.7000377343804	lotus_japonicus_root	CAS
lotus_japonicus_root_pm20	CAS_pm1	80.7031040290119	lotus_japonicus_root	CAS
lotus_japonicus_root_pm21	CAS_pm1	90.7320136577141	lotus_japonicus_root	CAS
lotus_japonicus_root_pm22	CAS_pm1	67.3770004442368	lotus_japonicus_root	CAS
