id	Degree	Closeness	Betweenness	Kingdom	Phylum	Class	Order	Family	Genus	RA	Occupancy	ID	Exemplar	Cluster	Cluster_size
ASV_1001	28	0.00408163265306122	24.0686572995083	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA	0.00689664005579497	0.558139534883721	ASV_1001	ASV_88	Cluster_20	52
ASV_1003	88	0.00549450549450549	107.591202190911	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	NA	NA	0.00421582007945925	0.453488372093023	ASV_1003	ASV_537	Cluster_56	49
ASV_1004	13	0.00371747211895911	8.45879064592469	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	0.00101989045936669	0.0813953488372093	ASV_1004	ASV_856	Cluster_67	35
ASV_1012	11	0.00367647058823529	1.87559808311127	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	NA	0.00317511570020024	0.325581395348837	ASV_1012	ASV_537	Cluster_56	49
ASV_1026	38	0.00425531914893617	45.5235139064266	Bacteria	Desulfobacterota	NA	NA	NA	NA	0.00673784012047964	0.5	ASV_1026	ASV_88	Cluster_20	52
ASV_1027	63	0.00483091787439614	30.0741113917723	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA	0.00297297935433436	0.488372093023256	ASV_1027	ASV_537	Cluster_56	49
ASV_105	94	0.00568181818181818	95.024335694593	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	A21b	NA	0.0472630269313428	0.779069767441861	ASV_105	ASV_88	Cluster_20	52
ASV_1050	9	0.0036231884057971	1.68782190780589	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhizobacter	0.00164609506015568	0.27906976744186	ASV_1050	ASV_88	Cluster_20	52
ASV_1052	42	0.00436681222707424	50.334189412081	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas	0.00323593313193472	0.337209302325581	ASV_1052	ASV_88	Cluster_20	52
ASV_1055	7	0.00357142857142857	1.44026120921775	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	0.00533718419100065	0.441860465116279	ASV_1055	ASV_88	Cluster_20	52
ASV_1080	81	0.00529100529100529	34.2777873393014	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	SC-I-84	NA	0.00535475880198111	0.534883720930233	ASV_1080	ASV_537	Cluster_56	49
ASV_1103	51	0.0045045045045045	54.2918051909373	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	0.00120657341703423	0.0930232558139535	ASV_1103	ASV_856	Cluster_67	35
ASV_1107	78	0.00520833333333333	68.2759823583712	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA	0.00592348273917572	0.604651162790698	ASV_1107	ASV_537	Cluster_56	49
