id	Degree	Closeness	Betweenness	Kingdom	Phylum	Class	Order	Family	Genus	RA	Occupancy	ID	Exemplar	Cluster	Cluster_size
ASV_1001	35	0.00425531914893617	3.48035776927831	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA	0.000603864734299517	0.00668896321070234	ASV_1001	ASV_88	Cluster_20	52
ASV_1003	24	0.0040650406504065	0.703850535429483	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	NA	NA	0.00283025224496796	0.0301003344481605	ASV_1003	ASV_537	Cluster_56	49
ASV_1004	25	0.00408163265306122	0.801720209614946	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	0.00405678410258896	0.0334448160535117	ASV_1004	ASV_856	Cluster_67	35
ASV_1012	32	0.00420168067226891	4.37064251537936	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	NA	0.0142067012265369	0.150501672240803	ASV_1012	ASV_537	Cluster_56	49
ASV_1026	26	0.00409836065573771	1.17706766917293	Bacteria	Desulfobacterota	NA	NA	NA	NA	0.00211320476334291	0.0234113712374582	ASV_1026	ASV_88	Cluster_20	52
ASV_1027	25	0.00408163265306122	0.866791979949875	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA	0.00315030565866686	0.020066889632107	ASV_1027	ASV_537	Cluster_56	49
ASV_105	25	0.00408163265306122	0.869389382547277	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	A21b	NA	0.0120981241546168	0.0802675585284281	ASV_105	ASV_88	Cluster_20	52
ASV_1050	25	0.00408163265306122	0.882296650717703	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhizobacter	0.00870383136869869	0.096989966555184	ASV_1050	ASV_88	Cluster_20	52
ASV_1052	135	0.00740740740740741	343.065771402174	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas	0	0	ASV_1052	ASV_88	Cluster_20	52
ASV_1055	23	0.00404858299595142	0.400501253132832	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	0.0152868424002721	0.123745819397993	ASV_1055	ASV_88	Cluster_20	52
ASV_1080	21	0.00401606425702811	0.155263157894737	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	SC-I-84	NA	0.0101165245858082	0.0936454849498328	ASV_1080	ASV_537	Cluster_56	49
ASV_1103	135	0.00740740740740741	343.065771402174	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	0	0	ASV_1103	ASV_856	Cluster_67	35
ASV_1107	21	0.00401606425702811	0.105263157894737	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA	0.00127022735718388	0.0133779264214047	ASV_1107	ASV_537	Cluster_56	49
ASV_1111	135	0.00740740740740741	343.065771402174	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	0	0	ASV_1111	ASV_88	Cluster_20	52
ASV_1116	23	0.00404858299595142	0.468421052631579	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhizobacter	0.0498655742162444	0.297658862876254	ASV_1116	ASV_537	Cluster_56	49
ASV_1119	28	0.00413223140495868	1.63208020050125	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	NA	0.00657602492886774	0.0568561872909699	ASV_1119	ASV_537	Cluster_56	49
ASV_112	25	0.00408163265306122	0.928947368421053	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	0.00324427987471466	0.0334448160535117	ASV_112	ASV_88	Cluster_20	52
ASV_1124	24	0.0040650406504065	0.673684210526316	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	0.00267558528428094	0.0100334448160535	ASV_1124	ASV_537	Cluster_56	49
ASV_1127	29	0.004149377593361	2.56015037593985	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	0.0263085486752674	0.17056856187291	ASV_1127	ASV_856	Cluster_67	35
ASV_1132	135	0.00740740740740741	343.065771402174	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1	0	0	ASV_1132	ASV_88	Cluster_20	52
ASV_1149	26	0.00409836065573771	1.1218045112782	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	0.00234644582470669	0.020066889632107	ASV_1149	ASV_88	Cluster_20	52
ASV_1162	27	0.00411522633744856	1.71826156299841	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	0.000893501213194308	0.0100334448160535	ASV_1162	ASV_88	Cluster_20	52
ASV_1192	135	0.00740740740740741	343.065771402174	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	MND1	0	0	ASV_1192	ASV_856	Cluster_67	35
ASV_1195	22	0.00403225806451613	0.307894736842105	Bacteria	Desulfobacterota	NA	NA	NA	NA	0.00315461201748827	0.0234113712374582	ASV_1195	ASV_88	Cluster_20	52
ASV_1211	24	0.0040650406504065	0.781578947368421	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas	0.00283141074910742	0.0267558528428094	ASV_1211	ASV_537	Cluster_56	49
ASV_1252	21	0.00401606425702811	0.05	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	0.000238891543239369	0.00334448160535117	ASV_1252	ASV_537	Cluster_56	49
ASV_1302	32	0.00420168067226891	2.09532069261652	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	NA	NA	0.00156540319583798	0.0167224080267559	ASV_1302	ASV_88	Cluster_20	52
ASV_1316	27	0.00411522633744856	1.36365914786967	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	0.0104500143799041	0.0769230769230769	ASV_1316	ASV_856	Cluster_67	35
ASV_1322	21	0.00401606425702811	0.105263157894737	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	0.000304043782304652	0.00334448160535117	ASV_1322	ASV_537	Cluster_56	49
ASV_1324	135	0.00740740740740741	343.065771402174	Bacteria	RCP2-54	NA	NA	NA	NA	0	0	ASV_1324	ASV_88	Cluster_20	52
ASV_1382	135	0.00740740740740741	343.065771402174	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	MND1	0	0	ASV_1382	ASV_537	Cluster_56	49
ASV_1434	23	0.00404858299595142	0.518421052631579	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	0.00256325799804061	0.0167224080267559	ASV_1434	ASV_88	Cluster_20	52
ASV_1438	25	0.00408163265306122	0.71077694235589	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Lapillicoccus	0.00231435534074766	0.020066889632107	ASV_1438	ASV_856	Cluster_67	35
ASV_1459	30	0.00416666666666667	0.440126261655497	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	NA	0.000209030100334448	0.00334448160535117	ASV_1459	ASV_88	Cluster_20	52
ASV_1481	27	0.00411522633744856	0.540636175418784	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA	0.000318522057652492	0.00334448160535117	ASV_1481	ASV_856	Cluster_67	35
ASV_1485	28	0.00413223140495868	1.98978127136022	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	mle1-7	0.00234789365224148	0.0100334448160535	ASV_1485	ASV_537	Cluster_56	49
ASV_1501	21	0.00401606425702811	0.0454545454545455	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter	0.00075046904315197	0.00668896321070234	ASV_1501	ASV_856	Cluster_67	35
ASV_1510	35	0.00425531914893617	5.62854889199283	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	SC-I-84	NA	0.00163838229855389	0.0167224080267559	ASV_1510	ASV_88	Cluster_20	52
