id	Degree	Closeness	Betweenness	Kingdom	Phylum	Class	Order	Family	Genus	RA	Occupancy	ID	Exemplar	Cluster	Cluster_size
ASV_1001	114	0.00099601593625498	23.2728119867792	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA	0.00288035931321759	0.558139534883721	ASV_1001	ASV_88	Cluster_20	52
ASV_1003	274	0.00118483412322275	160.7276114476	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	NA	NA	0.00275747051055366	0.453488372093023	ASV_1003	ASV_537	Cluster_56	49
ASV_1004	91	0.000973709834469328	9.3700491048318	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	0.000227271759526268	0.0813953488372093	ASV_1004	ASV_856	Cluster_67	35
ASV_1012	107	0.000989119683481701	22.888792928888	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	NA	0.00123410470247875	0.325581395348837	ASV_1012	ASV_537	Cluster_56	49
ASV_1015	70	0.000954198473282443	4.88621502401026	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter	0.000996951646371515	0.313953488372093	ASV_1015	ASV_111	Cluster_25	53
ASV_1018	165	0.00104931794333683	36.8598800007313	Bacteria	Firmicutes	Bacilli	Alicyclobacillales	Alicyclobacillaceae	Tumebacillus	0.00134655386480633	0.302325581395349	ASV_1018	ASV_191	Cluster_30	34
ASV_1021	84	0.000967117988394584	10.2905908731523	Bacteria	Chloroflexi	TK10	NA	NA	NA	0.000753221269804069	0.22093023255814	ASV_1021	ASV_1819	Cluster_95	11
ASV_1024	559	0.00178890876565295	1878.62420438324	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aliihoeflea	0	0	ASV_1024	ASV_2072	Cluster_101	52
ASV_1026	110	0.000992063492063492	19.0003045682131	Bacteria	Desulfobacterota	NA	NA	NA	NA	0.00205149259631832	0.5	ASV_1026	ASV_88	Cluster_20	52
ASV_1027	230	0.00112612612612613	87.516416132987	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA	0.00176177830385034	0.488372093023256	ASV_1027	ASV_537	Cluster_56	49
ASV_1028	142	0.00102459016393443	46.8828786718903	Bacteria	Chloroflexi	TK10	NA	NA	NA	0.000489529626965881	0.0813953488372093	ASV_1028	ASV_1028	Cluster_73	25
ASV_1032	83	0.000966183574879227	10.8137395320801	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Phycicoccus	0.00016961788617774	0.0697674418604651	ASV_1032	ASV_93	Cluster_21	19
ASV_1044	98	0.000980392156862745	13.9080383905072	Bacteria	Chloroflexi	TK10	NA	NA	NA	0.000308922398722644	0.127906976744186	ASV_1044	ASV_1028	Cluster_73	25
ASV_1045	270	0.00117924528301887	160.482011833061	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_13	0.00260051551185193	0.325581395348837	ASV_1045	ASV_191	Cluster_30	34
ASV_105	328	0.00126582278481013	272.602999489302	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	A21b	NA	0.0275700482863571	0.779069767441861	ASV_105	ASV_88	Cluster_20	52
ASV_1050	92	0.000974658869395712	13.4022588127867	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhizobacter	0.000784007124935122	0.27906976744186	ASV_1050	ASV_88	Cluster_20	52
ASV_1052	179	0.00106496272630458	70.1089284893443	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas	0.0014609895451236	0.337209302325581	ASV_1052	ASV_88	Cluster_20	52
ASV_1055	92	0.000974658869395712	15.5875442939202	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	0.00228448850849319	0.441860465116279	ASV_1055	ASV_88	Cluster_20	52
ASV_1058	164	0.0010482180293501	72.6517568149886	Bacteria	Acidobacteriota	Subgroup_5	NA	NA	NA	0.00140570257664142	0.348837209302326	ASV_1058	ASV_135	Cluster_26	46
ASV_1066	91	0.000973709834469328	9.91260454342497	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas	0.00151249293552277	0.36046511627907	ASV_1066	ASV_135	Cluster_26	46
ASV_107	263	0.00116959064327485	161.749571493636	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	0.0187681245642685	0.604651162790698	ASV_107	ASV_107	Cluster_24	35
ASV_1072	243	0.00114285714285714	120.933750935827	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella	0.00360127558144166	0.302325581395349	ASV_1072	ASV_93	Cluster_21	19
ASV_1074	83	0.000966183574879227	11.8208702843163	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	8.01334169036793e-05	0.0232558139534884	ASV_1074	ASV_93	Cluster_21	19
ASV_1079	76	0.000959692898272553	5.14307667540728	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	3.99041096715515e-05	0.0232558139534884	ASV_1079	ASV_221	Cluster_35	22
ASV_1080	272	0.00118203309692671	138.459822271572	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	SC-I-84	NA	0.00330406210704632	0.534883720930233	ASV_1080	ASV_537	Cluster_56	49
ASV_1084	78	0.000961538461538461	5.23580868676649	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhizobacter	0.00030580486919374	0.127906976744186	ASV_1084	ASV_135	Cluster_26	46
ASV_1085	107	0.000989119683481701	16.6554560584153	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	SC-I-84	NA	0.00136353502279474	0.372093023255814	ASV_1085	ASV_135	Cluster_26	46
ASV_1092	197	0.001085776330076	63.7178836352134	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	0.00132316455920883	0.372093023255814	ASV_1092	ASV_135	Cluster_26	46
ASV_1098	149	0.00103199174406605	27.7840540550258	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	0.00196793525015046	0.441860465116279	ASV_1098	ASV_135	Cluster_26	46
ASV_1101	109	0.000991080277502478	22.5295846603655	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Occallatibacter	2.54439977609282e-05	0.0116279069767442	ASV_1101	ASV_3117	Cluster_121	25
ASV_1103	147	0.00102986611740474	26.379716657531	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	0.000293703340137836	0.0930232558139535	ASV_1103	ASV_856	Cluster_67	35
ASV_1105	105	0.000987166831194472	17.3990574417294	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	0.000308852131192874	0.104651162790698	ASV_1105	ASV_111	Cluster_25	53
ASV_1106	239	0.00113765642775882	131.093619221569	Bacteria	Acidobacteriota	Subgroup_5	NA	NA	NA	0.0027622653387279	0.465116279069767	ASV_1106	ASV_135	Cluster_26	46
ASV_1107	291	0.00120918984280532	207.075714529905	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA	0.00362243434799822	0.604651162790698	ASV_1107	ASV_537	Cluster_56	49
ASV_1109	180	0.00106609808102345	53.3105242252283	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Terrabacter	0.00074431416703919	0.13953488372093	ASV_1109	ASV_93	Cluster_21	19
ASV_111	203	0.00109289617486339	91.8785620480625	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	0.00567361958228561	0.720930232558139	ASV_111	ASV_111	Cluster_25	53
ASV_1111	123	0.00100502512562814	18.9579206774856	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	0.00103422765681104	0.27906976744186	ASV_1111	ASV_88	Cluster_20	52
ASV_1116	171	0.00105596620908131	43.0602714947812	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhizobacter	0.00100377275102313	0.36046511627907	ASV_1116	ASV_537	Cluster_56	49
ASV_1119	152	0.0010351966873706	29.4819358317293	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	NA	0.00144751964364543	0.453488372093023	ASV_1119	ASV_537	Cluster_56	49
ASV_112	325	0.00126103404791929	294.505505088797	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	0.023567009125218	0.720930232558139	ASV_112	ASV_88	Cluster_20	52
ASV_1124	233	0.00112994350282486	104.657722079653	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	0.00156935938629421	0.337209302325581	ASV_1124	ASV_537	Cluster_56	49
ASV_1125	96	0.000978473581213307	16.9367311815813	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA	0.00119032086697532	0.348837209302326	ASV_1125	ASV_222	Cluster_36	28
ASV_1126	69	0.000953288846520496	4.56957125877281	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	7.9878464858086e-05	0.0232558139534884	ASV_1126	ASV_2072	Cluster_101	52
ASV_1127	201	0.00109051254089422	66.6219960670813	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	0.000609835810331657	0.127906976744186	ASV_1127	ASV_856	Cluster_67	35
ASV_1129	82	0.000965250965250965	11.4805743535096	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudorhodoplanes	0.000400724356164012	0.174418604651163	ASV_1129	ASV_222	Cluster_36	28
ASV_1131	170	0.00105485232067511	56.8735553187324	Bacteria	Proteobacteria	Gammaproteobacteria	PLTA13	NA	NA	0.00266212143796512	0.465116279069767	ASV_1131	ASV_135	Cluster_26	46
ASV_1132	78	0.000961538461538461	7.75467819214892	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1	0.000581728316518891	0.244186046511628	ASV_1132	ASV_88	Cluster_20	52
ASV_114	90	0.000972762645914397	11.3077237238512	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Ideonella	4.14099513713067e-05	0.0232558139534884	ASV_114	ASV_2072	Cluster_101	52
ASV_1149	197	0.001085776330076	71.1573720776251	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	0.00194525406916366	0.395348837209302	ASV_1149	ASV_88	Cluster_20	52
ASV_1155	109	0.000991080277502478	11.1526452120702	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	0.000311317042019027	0.104651162790698	ASV_1155	ASV_191	Cluster_30	34
ASV_1158	81	0.000964320154291225	9.40419698013471	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	0.000564105182206106	0.197674418604651	ASV_1158	ASV_111	Cluster_25	53
ASV_116	223	0.00111731843575419	118.386604856099	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	0.00886508323796832	0.848837209302326	ASV_116	ASV_135	Cluster_26	46
ASV_1162	115	0.000997008973080758	16.0950400367259	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	0.000989207122241251	0.313953488372093	ASV_1162	ASV_88	Cluster_20	52
ASV_1164	63	0.000947867298578199	1.84807741899834	Bacteria	Proteobacteria	Gammaproteobacteria	CCD24	NA	NA	0.000152774456533153	0.0581395348837209	ASV_1164	ASV_744	Cluster_61	25
