C1	C2	Distance	Group1	Group2
CAS_bs2	CAS_bs1	79.6376674460643	CAS	CAS
CAS_bs3	CAS_bs1	101.468182604215	CAS	CAS
CAS_bs4	CAS_bs1	100.333852852899	CAS	CAS
CAS_bs5	CAS_bs1	98.6185799145927	CAS	CAS
CAS_bs6	CAS_bs1	86.5093058591733	CAS	CAS
CAS_bs7	CAS_bs1	74.0303655313403	CAS	CAS
CAS_bs8	CAS_bs1	118.304024857643	CAS	CAS
CAS_bs9	CAS_bs1	91.8379047645823	CAS	CAS
CAS_bs10	CAS_bs1	68.3437613854618	CAS	CAS
CAS_bs11	CAS_bs1	93.7093655330608	CAS	CAS
CAS_bs12	CAS_bs1	74.3120104375319	CAS	CAS
CAS_bs13	CAS_bs1	129.062897290797	CAS	CAS
CAS_bs14	CAS_bs1	76.6001199419452	CAS	CAS
CAS_bs15	CAS_bs1	76.6763157496006	CAS	CAS
CAS_bs16	CAS_bs1	81.9170092001515	CAS	CAS
CAS_bs17	CAS_bs1	77.6562549580095	CAS	CAS
CAS_bs18	CAS_bs1	52.1764730718886	CAS	CAS
CAS_bs19	CAS_bs1	106.259929699123	CAS	CAS
CAS_bs20	CAS_bs1	77.5453868219373	CAS	CAS
CAS_bs21	CAS_bs1	51.8012423858177	CAS	CAS
CAS_bs22	CAS_bs1	81.5791103559903	CAS	CAS
CAS_bs23	CAS_bs1	73.0357743757393	CAS	CAS
CAS_bs24	CAS_bs1	106.377925801916	CAS	CAS
CAS_bs25	CAS_bs1	71.9804698189489	CAS	CAS
CAS_bs26	CAS_bs1	82.3149189789951	CAS	CAS
CAS_bs27	CAS_bs1	106.307658611602	CAS	CAS
CAS_bs28	CAS_bs1	90.8480289530989	CAS	CAS
CAS_bs29	CAS_bs1	98.6740940256455	CAS	CAS
CAS_bs30	CAS_bs1	59.4295893402382	CAS	CAS
CAS_bs31	CAS_bs1	115.290926685991	CAS	CAS
CAS_bs32	CAS_bs1	54.427355889676	CAS	CAS
CAS_bs33	CAS_bs1	63.9148954669606	CAS	CAS
CAS_bs1	CAS_bs1	86.9336480995626	CAS	CAS
CAS_bs2	CAS_bs1	58.2565499030271	CAS	CAS
CAS_bs3	CAS_bs1	86.7893215834568	CAS	CAS
CAS_bs4	CAS_bs1	48.7283691359756	CAS	CAS
CAS_bs5	CAS_bs1	91.3595493835267	CAS	CAS
CAS_bs6	CAS_bs1	131.030521163857	CAS	CAS
CAS_bs7	CAS_bs1	106.686480531444	CAS	CAS
CAS_bs8	CAS_bs1	95.618439516524	CAS	CAS
CAS_bs9	CAS_bs1	114.334297733265	CAS	CAS
CAS_bs10	CAS_bs1	63.1762887353214	CAS	CAS
CAS_bs11	CAS_bs1	85.5790313265393	CAS	CAS
CAS_bs12	CAS_bs1	85.4870821229108	CAS	CAS
CAS_bs13	CAS_bs1	100.351705452512	CAS	CAS
CAS_bs14	CAS_bs1	112.159018538678	CAS	CAS
CAS_bs15	CAS_bs1	112.504826239256	CAS	CAS
CAS_bs16	CAS_bs1	98.0202009299288	CAS	CAS
CAS_bs17	CAS_bs1	49.7023367746013	CAS	CAS
CAS_bs18	CAS_bs1	90.0785646240043	CAS	CAS
CAS_bs19	CAS_bs1	85.8841043788547	CAS	CAS
CAS_bs20	CAS_bs1	95.4962882521288	CAS	CAS
CAS_bs21	CAS_bs1	56.8355070732212	CAS	CAS
CAS_bs22	CAS_bs1	75.4829978948476	CAS	CAS
CAS_bs23	CAS_bs1	91.2564863943337	CAS	CAS
CAS_bs24	CAS_bs1	58.4384358571822	CAS	CAS
CAS_bs25	CAS_bs1	65.2627191530158	CAS	CAS
CAS_bs26	CAS_bs1	68.4529993344216	CAS	CAS
CAS_bs27	CAS_bs1	88.300947356236	CAS	CAS
CAS_bs28	CAS_bs1	70.5098641785498	CAS	CAS
CAS_bs29	CAS_bs1	153.995556003856	CAS	CAS
CAS_bs30	CAS_bs1	73.7346366299499	CAS	CAS
CAS_bs31	CAS_bs1	53.8458616308716	CAS	CAS
CAS_bs32	CAS_bs1	59.2226396533078	CAS	CAS
CAS_bs33	CAS_bs1	101.559888676094	CAS	CAS
