C1	C2	Distance	Group1	Group2
arabidopsis_thaliana_rhizosphere_bs1	arabidopsis_thaliana_rhizoplane_bs1	536.728781829442	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_bs2	arabidopsis_thaliana_rhizoplane_bs1	560.012788769614	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_bs3	arabidopsis_thaliana_rhizoplane_bs1	602.737412314623	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_bs4	arabidopsis_thaliana_rhizoplane_bs1	565.295318093825	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_bs5	arabidopsis_thaliana_rhizoplane_bs1	614.481628919273	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_bs6	arabidopsis_thaliana_rhizoplane_bs1	539.540084864044	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_bs7	arabidopsis_thaliana_rhizoplane_bs1	559.870313851564	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_bs8	arabidopsis_thaliana_rhizoplane_bs1	581.357280518587	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_bs9	arabidopsis_thaliana_rhizoplane_bs1	546.193124197269	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_bs10	arabidopsis_thaliana_rhizoplane_bs1	570.118087638403	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_bs11	arabidopsis_thaliana_rhizoplane_bs1	592.283545063015	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_bs12	arabidopsis_thaliana_rhizoplane_bs1	579.656357244353	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_bs13	arabidopsis_thaliana_rhizoplane_bs1	546.054527454836	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_bs14	arabidopsis_thaliana_rhizoplane_bs1	542.73596807914	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_bs15	arabidopsis_thaliana_rhizoplane_bs1	495.832776966117	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
arabidopsis_thaliana_rhizosphere_bs16	arabidopsis_thaliana_rhizoplane_bs1	601.850809674605	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizoplane
