C1	C2	Distance	Group1	Group2
arabidopsis_thaliana_rhizosphere_bs2	arabidopsis_thaliana_rhizosphere_bs1	51.0619562536717	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_bs3	arabidopsis_thaliana_rhizosphere_bs1	91.8291551532946	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_bs4	arabidopsis_thaliana_rhizosphere_bs1	104.300316325584	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_bs5	arabidopsis_thaliana_rhizosphere_bs1	125.978128711293	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_bs6	arabidopsis_thaliana_rhizosphere_bs1	96.2145141626398	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_bs7	arabidopsis_thaliana_rhizosphere_bs1	88.6314292715917	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_bs8	arabidopsis_thaliana_rhizosphere_bs1	81.8904473599108	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_bs9	arabidopsis_thaliana_rhizosphere_bs1	126.662940671204	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_bs10	arabidopsis_thaliana_rhizosphere_bs1	117.700003154665	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_bs11	arabidopsis_thaliana_rhizosphere_bs1	96.7588614244326	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_bs12	arabidopsis_thaliana_rhizosphere_bs1	125.379109920762	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_bs13	arabidopsis_thaliana_rhizosphere_bs1	90.7246219264586	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_bs14	arabidopsis_thaliana_rhizosphere_bs1	92.8567093179441	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_bs15	arabidopsis_thaliana_rhizosphere_bs1	100.102977758789	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_bs16	arabidopsis_thaliana_rhizosphere_bs1	68.8566331185725	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_bs17	arabidopsis_thaliana_rhizosphere_bs1	61.3248818526731	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_bs18	arabidopsis_thaliana_rhizosphere_bs1	84.6741855745837	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_bs19	arabidopsis_thaliana_rhizosphere_bs1	132.17149189301	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_bs20	arabidopsis_thaliana_rhizosphere_bs1	91.3247730229116	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_bs21	arabidopsis_thaliana_rhizosphere_bs1	95.5210279539696	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_rhizosphere_bs22	arabidopsis_thaliana_rhizosphere_bs1	93.3882901769215	arabidopsis_thaliana_rhizosphere	arabidopsis_thaliana_rhizosphere
