C1	C2	Distance	Group1	Group2
CAS_bs1	arabidopsis_thaliana_root_bs1	491.786149140217	CAS	arabidopsis_thaliana_root
CAS_bs2	arabidopsis_thaliana_root_bs1	634.032723601879	CAS	arabidopsis_thaliana_root
CAS_bs3	arabidopsis_thaliana_root_bs1	644.36338684767	CAS	arabidopsis_thaliana_root
CAS_bs4	arabidopsis_thaliana_root_bs1	611.916402240281	CAS	arabidopsis_thaliana_root
CAS_bs5	arabidopsis_thaliana_root_bs1	604.820247222985	CAS	arabidopsis_thaliana_root
CAS_bs6	arabidopsis_thaliana_root_bs1	611.607872688405	CAS	arabidopsis_thaliana_root
CAS_bs7	arabidopsis_thaliana_root_bs1	638.207491810691	CAS	arabidopsis_thaliana_root
CAS_bs8	arabidopsis_thaliana_root_bs1	552.0103557839	CAS	arabidopsis_thaliana_root
CAS_bs9	arabidopsis_thaliana_root_bs1	609.76653382426	CAS	arabidopsis_thaliana_root
CAS_bs10	arabidopsis_thaliana_root_bs1	616.878942924928	CAS	arabidopsis_thaliana_root
CAS_bs11	arabidopsis_thaliana_root_bs1	616.401570003899	CAS	arabidopsis_thaliana_root
CAS_bs12	arabidopsis_thaliana_root_bs1	672.00040909055	CAS	arabidopsis_thaliana_root
CAS_bs13	arabidopsis_thaliana_root_bs1	607.588344872436	CAS	arabidopsis_thaliana_root
CAS_bs14	arabidopsis_thaliana_root_bs1	623.509932140074	CAS	arabidopsis_thaliana_root
CAS_bs15	arabidopsis_thaliana_root_bs1	578.184122481887	CAS	arabidopsis_thaliana_root
CAS_bs16	arabidopsis_thaliana_root_bs1	585.670280408274	CAS	arabidopsis_thaliana_root
CAS_bs17	arabidopsis_thaliana_root_bs1	613.731556103542	CAS	arabidopsis_thaliana_root
CAS_bs18	arabidopsis_thaliana_root_bs1	604.70834765025	CAS	arabidopsis_thaliana_root
CAS_bs19	arabidopsis_thaliana_root_bs1	631.240498519778	CAS	arabidopsis_thaliana_root
CAS_bs20	arabidopsis_thaliana_root_bs1	606.200860608253	CAS	arabidopsis_thaliana_root
CAS_bs21	arabidopsis_thaliana_root_bs1	620.681132630181	CAS	arabidopsis_thaliana_root
CAS_bs22	arabidopsis_thaliana_root_bs1	585.774013307066	CAS	arabidopsis_thaliana_root
CAS_bs23	arabidopsis_thaliana_root_bs1	630.244251759768	CAS	arabidopsis_thaliana_root
