C1	C2	Distance	Group1	Group2
CAS_pm2	CAS_pm1	50.4276817411628	CAS	CAS
CAS_pm3	CAS_pm1	113.184427189886	CAS	CAS
CAS_pm4	CAS_pm1	102.555764239674	CAS	CAS
CAS_pm5	CAS_pm1	79.8680157588922	CAS	CAS
CAS_pm6	CAS_pm1	116.374404903627	CAS	CAS
CAS_pm7	CAS_pm1	126.123446390656	CAS	CAS
CAS_pm8	CAS_pm1	112.2106827958	CAS	CAS
CAS_pm9	CAS_pm1	101.271669539687	CAS	CAS
CAS_pm10	CAS_pm1	82.5405754702598	CAS	CAS
CAS_pm11	CAS_pm1	96.9117750667499	CAS	CAS
CAS_pm12	CAS_pm1	87.5859248391975	CAS	CAS
CAS_pm13	CAS_pm1	63.805833810655	CAS	CAS
CAS_pm14	CAS_pm1	111.94517384717	CAS	CAS
CAS_pm15	CAS_pm1	162.442580222691	CAS	CAS
CAS_pm16	CAS_pm1	87.844477727815	CAS	CAS
CAS_pm17	CAS_pm1	94.3169531641292	CAS	CAS
CAS_pm18	CAS_pm1	102.093802010041	CAS	CAS
CAS_pm19	CAS_pm1	90.9853879491995	CAS	CAS
CAS_pm20	CAS_pm1	159.777988087611	CAS	CAS
CAS_pm21	CAS_pm1	115.593947933617	CAS	CAS
CAS_pm22	CAS_pm1	124.306361115092	CAS	CAS
CAS_pm23	CAS_pm1	107.081476089123	CAS	CAS
CAS_pm24	CAS_pm1	113.844223846861	CAS	CAS
CAS_pm25	CAS_pm1	135.675980090398	CAS	CAS
CAS_pm26	CAS_pm1	76.9986539961643	CAS	CAS
CAS_pm27	CAS_pm1	99.2623332357806	CAS	CAS
CAS_pm28	CAS_pm1	115.827151584322	CAS	CAS
CAS_pm29	CAS_pm1	141.004191851941	CAS	CAS
CAS_pm30	CAS_pm1	89.0585645142439	CAS	CAS
CAS_pm31	CAS_pm1	175.682563806315	CAS	CAS
CAS_pm32	CAS_pm1	93.462041345068	CAS	CAS
CAS_pm33	CAS_pm1	106.58834925026	CAS	CAS
CAS_pm1	CAS_pm1	130.395625574126	CAS	CAS
CAS_pm2	CAS_pm1	154.118608288753	CAS	CAS
CAS_pm3	CAS_pm1	109.622143990212	CAS	CAS
CAS_pm4	CAS_pm1	148.109116142236	CAS	CAS
CAS_pm5	CAS_pm1	148.013655937735	CAS	CAS
CAS_pm6	CAS_pm1	70.7263221067152	CAS	CAS
CAS_pm7	CAS_pm1	102.146774361694	CAS	CAS
CAS_pm8	CAS_pm1	133.641560967515	CAS	CAS
CAS_pm9	CAS_pm1	124.466686338852	CAS	CAS
CAS_pm10	CAS_pm1	146.460069823145	CAS	CAS
CAS_pm11	CAS_pm1	128.120259847774	CAS	CAS
CAS_pm12	CAS_pm1	139.269370178577	CAS	CAS
CAS_pm13	CAS_pm1	161.004330541756	CAS	CAS
CAS_pm14	CAS_pm1	162.51271942109	CAS	CAS
CAS_pm15	CAS_pm1	67.3527376480037	CAS	CAS
CAS_pm16	CAS_pm1	137.893508656924	CAS	CAS
CAS_pm17	CAS_pm1	114.15267300087	CAS	CAS
CAS_pm18	CAS_pm1	81.9448523101589	CAS	CAS
CAS_pm19	CAS_pm1	87.8763102136613	CAS	CAS
CAS_pm20	CAS_pm1	75.4731306228719	CAS	CAS
CAS_pm21	CAS_pm1	111.397030816745	CAS	CAS
CAS_pm22	CAS_pm1	94.1398095197775	CAS	CAS
CAS_pm23	CAS_pm1	121.364289343542	CAS	CAS
CAS_pm24	CAS_pm1	117.442682710498	CAS	CAS
CAS_pm25	CAS_pm1	94.1636887122041	CAS	CAS
CAS_pm26	CAS_pm1	135.943491381204	CAS	CAS
CAS_pm27	CAS_pm1	90.8764829969308	CAS	CAS
CAS_pm28	CAS_pm1	164.38546278221	CAS	CAS
CAS_pm29	CAS_pm1	105.900349624618	CAS	CAS
CAS_pm30	CAS_pm1	126.157341110319	CAS	CAS
CAS_pm31	CAS_pm1	65.066521356691	CAS	CAS
CAS_pm32	CAS_pm1	81.4232800269587	CAS	CAS
CAS_pm33	CAS_pm1	107.885599754123	CAS	CAS
CAS_pm3	CAS_pm2	115.388147592868	CAS	CAS
CAS_pm4	CAS_pm2	100.645879916125	CAS	CAS
CAS_pm5	CAS_pm2	91.0058975153004	CAS	CAS
CAS_pm6	CAS_pm2	113.625783441586	CAS	CAS
CAS_pm7	CAS_pm2	114.635685905779	CAS	CAS
CAS_pm8	CAS_pm2	94.4567822042909	CAS	CAS
CAS_pm9	CAS_pm2	95.514597669006	CAS	CAS
CAS_pm10	CAS_pm2	90.5179961884483	CAS	CAS
CAS_pm11	CAS_pm2	102.892137047994	CAS	CAS
CAS_pm12	CAS_pm2	78.9212587640644	CAS	CAS
CAS_pm13	CAS_pm2	44.8103953829129	CAS	CAS
CAS_pm14	CAS_pm2	117.199308729995	CAS	CAS
CAS_pm15	CAS_pm2	169.114703794444	CAS	CAS
CAS_pm16	CAS_pm2	96.4972175336089	CAS	CAS
CAS_pm17	CAS_pm2	90.6014931824762	CAS	CAS
CAS_pm18	CAS_pm2	116.491729649873	CAS	CAS
CAS_pm19	CAS_pm2	108.471440159721	CAS	CAS
CAS_pm20	CAS_pm2	159.560342494341	CAS	CAS
CAS_pm21	CAS_pm2	97.097730098104	CAS	CAS
CAS_pm22	CAS_pm2	115.514677164092	CAS	CAS
CAS_pm23	CAS_pm2	108.846542701589	CAS	CAS
CAS_pm24	CAS_pm2	114.898019004939	CAS	CAS
CAS_pm25	CAS_pm2	143.040038590295	CAS	CAS
CAS_pm26	CAS_pm2	67.885967459063	CAS	CAS
CAS_pm27	CAS_pm2	95.0978636026639	CAS	CAS
CAS_pm28	CAS_pm2	120.559080415539	CAS	CAS
CAS_pm29	CAS_pm2	139.720496465847	CAS	CAS
CAS_pm30	CAS_pm2	93.3226547198612	CAS	CAS
CAS_pm31	CAS_pm2	175.269645730458	CAS	CAS
CAS_pm32	CAS_pm2	70.5568816799675	CAS	CAS
CAS_pm33	CAS_pm2	86.7015472238772	CAS	CAS
CAS_pm1	CAS_pm2	126.37877374458	CAS	CAS
CAS_pm2	CAS_pm2	151.350810577102	CAS	CAS
CAS_pm3	CAS_pm2	89.1631233500376	CAS	CAS
CAS_pm4	CAS_pm2	141.030943205657	CAS	CAS
CAS_pm5	CAS_pm2	139.757873087505	CAS	CAS
CAS_pm6	CAS_pm2	62.7004802730334	CAS	CAS
CAS_pm7	CAS_pm2	93.3481436824235	CAS	CAS
CAS_pm8	CAS_pm2	141.401763838334	CAS	CAS
CAS_pm9	CAS_pm2	144.625191190345	CAS	CAS
CAS_pm10	CAS_pm2	129.253433597944	CAS	CAS
CAS_pm11	CAS_pm2	121.155152704737	CAS	CAS
CAS_pm12	CAS_pm2	135.099402873446	CAS	CAS
CAS_pm13	CAS_pm2	156.987638898731	CAS	CAS
CAS_pm14	CAS_pm2	150.871733411162	CAS	CAS
CAS_pm15	CAS_pm2	59.7272937641843	CAS	CAS
