C1	C2	Distance	Group1	Group2
arabidopsis_thaliana_root_pm1	arabidopsis_thaliana_rhizosphere_pm1	134.010064010348	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm2	arabidopsis_thaliana_rhizosphere_pm1	92.1676493598088	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm3	arabidopsis_thaliana_rhizosphere_pm1	196.759191986793	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm4	arabidopsis_thaliana_rhizosphere_pm1	95.2921332717972	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm5	arabidopsis_thaliana_rhizosphere_pm1	100.54139499059	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm6	arabidopsis_thaliana_rhizosphere_pm1	223.06836910252	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm7	arabidopsis_thaliana_rhizosphere_pm1	117.117506978549	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm8	arabidopsis_thaliana_rhizosphere_pm1	128.431207771181	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm9	arabidopsis_thaliana_rhizosphere_pm1	217.594008147123	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm10	arabidopsis_thaliana_rhizosphere_pm1	243.527153007773	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm11	arabidopsis_thaliana_rhizosphere_pm1	206.100842516652	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm12	arabidopsis_thaliana_rhizosphere_pm1	149.92034577475	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm13	arabidopsis_thaliana_rhizosphere_pm1	180.391238211478	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm14	arabidopsis_thaliana_rhizosphere_pm1	131.907943603408	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm15	arabidopsis_thaliana_rhizosphere_pm1	111.402944062271	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm16	arabidopsis_thaliana_rhizosphere_pm1	158.36588118573	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm17	arabidopsis_thaliana_rhizosphere_pm1	123.699629261395	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm18	arabidopsis_thaliana_rhizosphere_pm1	158.629256447594	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm19	arabidopsis_thaliana_rhizosphere_pm1	134.674219791634	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm20	arabidopsis_thaliana_rhizosphere_pm1	131.070919502518	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm21	arabidopsis_thaliana_rhizosphere_pm1	102.745564747795	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
arabidopsis_thaliana_root_pm22	arabidopsis_thaliana_rhizosphere_pm1	110.030574838563	arabidopsis_thaliana_root	arabidopsis_thaliana_rhizosphere
